date,value
"2026-07-17 10:11:36",95
"2026-07-16 10:11:35",96
"2026-07-15 10:07:01",97
"2026-07-14 10:45:49",94
"2026-07-14 06:23:14",93
"2026-07-13 07:23:08",94
"2026-07-12 10:49:27",92
"2026-07-11 10:12:46",95
"2026-07-10 10:18:55",95
"2026-07-09 09:39:20",94
"2026-07-08 10:20:12",95
"2026-07-07 10:06:45",94
"2026-07-06 11:01:21",97
"2026-07-05 10:11:55",95
"2026-07-04 09:16:25",95
"2026-07-03 10:21:08",94
"2026-07-02 11:13:55",96
"2026-07-01 09:38:57",94
"2026-06-30 10:55:50",96
"2026-06-29 09:07:35",94
"2026-06-28 10:27:27",95
"2026-06-27 09:31:40",94
"2026-06-26 09:26:20",94
"2026-06-25 10:12:20",93
"2026-06-24 10:09:47",94
"2026-06-23 10:04:28",93
"2026-06-22 07:28:16",94
"2026-06-21 10:05:49",93
"2026-06-20 10:30:19",96
"2023-11-14 18:13:20",100
"2023-11-14 18:12:58",100
"2023-07-25 00:15:31",97
"2023-07-24 18:39:56",100
"2023-07-24 18:39:07",100
"2023-07-24 18:38:36",100
