type,date,value,unit,position
VO2MAX,"2026-07-13 18:24:00",37,
"Training Duration","2026-07-13 18:24:00","1,020",
"Training load","2026-07-13 18:24:00",5,
"Vascular age","2026-07-08 11:58:38",28,
FAT_FREE_MASS,"2026-07-08 11:58:38",45,
"Visceral Fat","2026-07-08 11:58:38",2.1,
"Impedence 50kHz for segments","2026-07-08 11:58:38",686.0,,"Between Legs"
"Impedence 250kHz for segments","2026-07-08 11:58:38",604.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-07-08 11:58:38",808.0,,"Between Legs"
"Phase  6.25kHz segment","2026-07-08 11:58:38",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-07-08 11:58:38",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-07-08 11:58:38",-0.1,,"Between Legs"
"BIA Error","2026-07-08 11:58:38",0,
"Basal Metabolic Rate (BMR)","2026-07-08 11:58:38","1,356",
"Metabolic Age","2026-07-08 11:58:38",29,
FAT_PERCENT,"2026-07-08 11:58:38",34,
"Fat Free Percent","2026-07-08 11:58:38",66,
MUSCLE_PERCENT,"2026-07-08 11:58:38",63,
BONE_PERCENT,"2026-07-08 11:58:38",3,
WATER_PERCENT,"2026-07-08 11:58:38",44,
"Vascular age","2026-06-26 10:53:43",28,
"Electrodermal activity feet","2026-06-26 10:53:43",87,
"Max Nerve Response Score (NRS) feet","2026-06-26 10:53:43",87,
FAT_FREE_MASS,"2026-06-26 10:53:43",45,
"Visceral Fat","2026-06-26 10:53:43",2.1,
"Impedence 50kHz for segments","2026-06-26 10:53:43",675.0,,"Between Legs"
"Impedence 250kHz for segments","2026-06-26 10:53:43",594.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-06-26 10:53:43",809.0,,"Between Legs"
"Phase  6.25kHz segment","2026-06-26 10:53:43",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-06-26 10:53:43",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-06-26 10:53:43",-0.1,,"Between Legs"
"BIA Error","2026-06-26 10:53:43",0,
"Basal Metabolic Rate (BMR)","2026-06-26 10:53:43","1,366",
"Metabolic Age","2026-06-26 10:53:43",29,
FAT_PERCENT,"2026-06-26 10:53:43",34,
"Fat Free Percent","2026-06-26 10:53:43",66,
MUSCLE_PERCENT,"2026-06-26 10:53:43",63,
BONE_PERCENT,"2026-06-26 10:53:43",3,
WATER_PERCENT,"2026-06-26 10:53:43",44,
VO2MAX,"2026-06-20 19:27:00",36,
"Training Duration","2026-06-20 19:27:00","1,020",
"Training load","2026-06-20 19:27:00",8,
VO2MAX,"2026-06-20 19:26:34",37,
"Training Duration","2026-06-20 19:26:34","1,617",
"Training load","2026-06-20 19:26:34",11,
"PWV Reached count","2026-06-20 11:14:43","1,284",
"VA Reached count","2026-06-20 11:14:43","1,284",
"Electrodermal activity feet","2026-06-20 11:14:43",80,
"Max Nerve Response Score (NRS) feet","2026-06-20 11:14:43",87,
FAT_FREE_MASS,"2026-06-20 11:14:43",45,
"Visceral Fat","2026-06-20 11:14:43",2.1,
"Impedence 50kHz for segments","2026-06-20 11:14:43",669.0,,"Between Legs"
"Impedence 250kHz for segments","2026-06-20 11:14:43",605.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-06-20 11:14:43",767.0,,"Between Legs"
"Phase  6.25kHz segment","2026-06-20 11:14:43",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-06-20 11:14:43",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-06-20 11:14:43",-0.1,,"Between Legs"
"BIA Error","2026-06-20 11:14:43",0,
"Basal Metabolic Rate (BMR)","2026-06-20 11:14:43","1,365",
"Metabolic Age","2026-06-20 11:14:43",29,
FAT_PERCENT,"2026-06-20 11:14:43",34,
"Fat Free Percent","2026-06-20 11:14:43",66,
MUSCLE_PERCENT,"2026-06-20 11:14:43",62,
BONE_PERCENT,"2026-06-20 11:14:43",3,
WATER_PERCENT,"2026-06-20 11:14:43",44,
"PWV Reached count","2026-06-11 12:25:39","1,283",
"VA Reached count","2026-06-11 12:25:39","1,283",
