date,value
"2026-07-08 11:58:38",6.1
"2026-06-26 10:53:43",6.2
"2025-08-10 12:26:58",6.0
"2025-02-14 09:42:42",6.1
"2025-02-09 11:40:12",5.9
"2024-12-16 10:42:14",6.2
"2024-11-12 09:53:19",6.2
"2024-10-02 10:21:09",6.3
"2024-09-19 12:02:15",6.3
"2024-09-04 11:00:23",6.3
"2024-08-27 09:41:42",6.4
"2024-08-18 12:05:50",6.3
"2024-08-14 11:57:16",6.2
"2024-08-13 10:18:25",6.2
"2024-07-27 12:40:12",6.1
"2024-07-26 10:43:54",6.1
"2024-03-18 15:01:37",5.9
"2024-03-12 16:42:03",5.9
"2024-03-10 12:24:08",5.7
"2024-02-10 12:35:13",5.8
"2024-01-23 11:50:09",5.9
"2024-01-16 10:10:42",6.0
