date,Previous Day Activity Score,Average MET,REM Sleep Duration,Total Bedtime ,Awake Time,Restless Sleep,Training Frequency Score,Equivalent Walking Distance,REM Sleep Score,Temperature Trend Deviation,Bedtime Start,Stay Active Score,Rest Time,Medium Activity Time,Average HRV,Meet Daily Targets Score,Sleep Latency Score,Non-wear Time,Steps,High Activity Time,Average Resting Heart Rate,Restfulness Score,Total Burn,Previous Night Score,Activity Burn,Lowest Resting Heart Rate,HRV Balance Score,Long Periods of Inactivity,Sleep Score,Total Sleep Duration,Training Volume Score,Move Every Hour Score,Sleep Efficiency Score,Inactive Time,Sleep Balance Score,Total Sleep Score,Temperature Score,Sleep Efficiency,Sleep Timin Score,Deep Sleep Score,Bedtime End,Sleep Timing,Temperature Deviation (°C),Readiness Score,Respiratory Rate,Low Activity Time,Deep Sleep Duration,Recovery Index Score,Activity Score,Light Sleep Duration,Sleep Latency,Resting Heart Rate Score,Activity Balance Score
2026-05-27,100,1.28125,7620,35673,4293,215,100,2388,97,None,2026-05-27T00:42:29.000-07:00,75,32520,600,30,78,81,9420,2242,0,74.25,78,1874,75,137,67,None,0,82,31380,97,100,90,33600,None,96,83,88,26,73,2026-05-27T10:37:02.000-07:00,17070,0.44,85,17.375,10260,4290,91,90,19470,480,77,91
2026-05-28,87,1.25,7050,29971,1831,175,96,2471,96,0.14,2026-05-28T02:02:02.000-07:00,81,39540,480,34,60,86,6720,3083,0,72.63,85,1838,76,124,66,None,1,79,28140,95,95,99,30840,None,84,97,94,17,69,2026-05-28T10:21:33.000-07:00,15000,0.15,86,17.0,8820,4080,100,85,17010,600,83,89
2026-05-29,88,1.28125,4260,24208,2518,123,71,3017,79,0.15,2026-05-29T01:37:29.000-07:00,90,25620,660,33,43,78,23340,3554,60,71.93,70,1880,78,156,62,None,1,78,21690,74,95,79,26460,None,86,100,90,33,96,2026-05-29T08:20:57.000-07:00,12510,0.08,89,17.5,10260,3960,100,77,13470,1380,93,92
2026-05-30,81,1.3125,7200,29785,1765,214,71,3496,96,0.25,2026-05-30T01:25:32.000-07:00,100,26580,1440,28,43,78,32340,2461,0,73.66,79,1898,79,186,62,None,0,76,28020,65,100,99,17580,100,83,94,94,23,52,2026-05-30T09:41:57.000-07:00,15150,0.16,89,17.375,8460,3120,100,77,17700,420,86,88
2026-05-31,83,1.21875,6660,29770,3490,172,40,1747,92,0.01,2026-05-31T02:13:00.000-07:00,100,27720,420,36,25,67,34620,2190,0,71.29,87,1781,76,94,63,None,1,74,26280,48,95,90,17160,91,77,100,88,17,71,2026-05-31T10:29:10.000-07:00,14220,-0.13,81,17.625,6480,4170,47,67,15450,180,91,87
2026-06-01,83,1.21875,6390,30927,4257,154,1,3500,89,0.12,2026-06-01T02:50:32.000-07:00,100,34500,2220,36,1,67,36960,4219,0,74.79,88,1795,73,160,67,None,0,72,26670,55,100,86,9360,93,78,100,86,9,59,2026-06-01T11:25:59.000-07:00,14880,0.18,77,17.375,3360,3510,44,58,16770,180,65,90
2026-06-02,None,1.1875,8340,32464,2764,201,1,1535,98,0.03,2026-06-02T02:47:59.000-07:00,100,36000,300,30,1,83,27900,774,180,72.44,79,1755,85,90,62,78,0,80,29700,55,100,96,17520,95,90,100,91,5,85,2026-06-02T11:49:03.000-07:00,16500,-0.01,84,17.0,4500,4980,52,58,16380,1260,100,80
2026-06-03,82,1.25,8040,31436,3416,194,1,2520,98,-0.01,2026-06-03T01:48:30.000-07:00,97,32460,360,33,1,70,21060,2971,0,71.38,78,1850,80,137,64,84,0,77,28020,48,100,93,21600,90,83,100,89,19,84,2026-06-03T10:32:26.000-07:00,14940,-0.04,86,17.125,10920,4920,100,57,15060,240,85,87
2026-06-04,85,1.25,6840,30129,1989,228,1,1440,95,-0.01,2026-06-04T01:18:59.000-07:00,99,25080,120,29,1,81,34260,2034,0,70.14,85,1798,80,89,63,79,0,77,28140,40,100,98,18840,92,84,97,93,25,49,2026-06-04T09:41:08.000-07:00,15030,-0.24,83,17.375,8100,2940,66,56,18360,510,92,81
2026-06-05,83,1.28125,4830,20018,1568,70,1,1747,67,-0.12,2026-06-05T02:27:27.000-07:00,92,23400,180,25,1,86,28500,1180,0,71.28,83,1836,60,106,61,78,1,66,18450,32,95,97,25380,80,46,95,92,31,95,2026-06-05T08:01:05.000-07:00,10170,-0.29,78,16.625,8940,5700,64,53,7920,600,91,82
