from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2023-07-22T20:03:00-07:00,2023-07-22T20:16:00-07:00,,,America/Vancouver,Walking,"{""calories"":31,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":115,""hr_min"":115,""hr_max"":115,""hr_zone_0"":0,""hr_zone_1"":124,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":895,""distance"":594,""elevation"":38,""metcumul"":38}",,2023-07-23T11:28:48-07:00
2023-07-22T20:26:00-07:00,2023-07-22T20:32:00-07:00,,,America/Vancouver,Walking,"{""calories"":14,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":534,""distance"":355,""elevation"":21,""metcumul"":21}",,2023-07-23T11:28:48-07:00
2023-07-22T21:04:00-07:00,2023-07-22T21:10:00-07:00,,,America/Vancouver,Walking,"{""calories"":14,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":556,""distance"":371,""elevation"":21,""metcumul"":21}",,2023-07-23T11:28:49-07:00
2023-07-26T14:54:00-07:00,2023-07-26T15:00:00-07:00,,,America/Vancouver,Walking,"{""calories"":19,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":90,""hr_min"":90,""hr_max"":90,""hr_zone_0"":0,""hr_zone_1"":41,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":352,""distance"":217,""elevation"":15,""metcumul"":15}",,2023-07-28T16:17:23-07:00
2023-07-26T15:36:00-07:00,2023-07-26T15:47:00-07:00,,,America/Vancouver,Walking,"{""calories"":35,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":120,""hr_min"":120,""hr_max"":120,""hr_zone_0"":0,""hr_zone_1"":48,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":625,""distance"":402,""elevation"":28,""metcumul"":28}",,2023-07-28T16:17:23-07:00
2023-07-26T16:10:00-07:00,2023-07-26T16:16:00-07:00,,,America/Vancouver,Walking,"{""calories"":19,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":157,""hr_min"":157,""hr_max"":157,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":65,""pause_duration"":0,""steps"":347,""distance"":222,""elevation"":15,""metcumul"":15}",,2023-07-28T16:17:24-07:00
2023-07-29T19:13:00-07:00,2023-07-29T19:25:00-07:00,,,America/Vancouver,Walking,"{""calories"":39,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1028,""distance"":656,""elevation"":40,""metcumul"":40}",,2023-08-04T17:55:31-07:00
2023-07-30T16:20:00-07:00,2023-07-30T16:38:00-07:00,,,America/Vancouver,Walking,"{""calories"":58,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":109,""hr_min"":106,""hr_max"":110,""hr_zone_0"":0,""hr_zone_1"":119,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1669,""distance"":1110,""elevation"":65,""metcumul"":65}",,2023-08-04T17:55:31-07:00
2023-08-02T21:16:00-07:00,2023-08-02T21:30:00-07:00,,,America/Vancouver,Walking,"{""calories"":45,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":101,""hr_min"":101,""hr_max"":101,""hr_zone_0"":0,""hr_zone_1"":48,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1076,""distance"":702,""elevation"":44,""metcumul"":44}",,2023-08-04T17:55:32-07:00
2023-08-02T21:37:00-07:00,2023-08-02T21:50:00-07:00,,,America/Vancouver,Walking,"{""calories"":17.719999313354,""effduration"":720,""intensity"":30,""manual_distance"":0,""manual_calories"":0,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1010,""distance"":654.50994873047,""elevation"":36,""metcumul"":40.330001831055}",,2023-08-09T10:59:03-07:00
2023-08-06T19:56:33-07:00,2023-08-06T20:56:31-07:00,,,America/Vancouver,Walking,"{""calories"":57.999992370605,""effduration"":2940,""intensity"":50,""manual_distance"":0,""manual_calories"":0,""hr_average"":108,""hr_min"":59,""hr_max"":173,""hr_zone_0"":399,""hr_zone_1"":2587,""hr_zone_2"":455,""hr_zone_3"":92,""device_startdate"":1691376993,""device_enddate"":1691380591,""pause_duration"":20,""steps"":3266,""distance"":2095.1796875,""elevation"":142,""metcumul"":142.57200622559}",,2023-08-09T10:59:06-07:00
2023-08-06T19:56:33-07:00,2023-08-06T20:56:31-07:00,,,America/Vancouver,"Multi Sport",{},,2023-08-09T10:59:05-07:00
2023-08-06T21:02:00-07:00,2023-08-06T21:10:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":11.059999465942,""effduration"":420,""intensity"":0,""manual_distance"":0,""manual_calories"":0,""hr_average"":111,""hr_min"":111,""hr_max"":111,""hr_zone_0"":0,""hr_zone_1"":39,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":598,""distance"":392.55001831055,""elevation"":23,""metcumul"":24.590002059937}",,2023-08-11T17:05:07-07:00
2023-08-04T12:26:00-07:00,2023-08-04T12:38:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":94.266326904297,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":38,""distance"":25.439998626709,""metcumul"":10.270000457764}",,2023-08-09T10:59:04-07:00
2023-08-06T19:56:33-07:00,2023-08-06T20:56:31-07:00,,,America/Los_Angeles,Walking,{},,2023-08-09T13:27:14-07:00
2023-08-09T15:43:00-07:00,2023-08-09T15:55:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":16.520261764526,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":915,""distance"":589.11999511719,""metcumul"":36.363117218018}",,2023-08-18T10:41:54-07:00
2023-08-12T18:47:00-07:00,2023-08-12T18:58:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":13.530000686646,""effduration"":600,""intensity"":0,""pause_duration"":0,""steps"":759,""distance"":503.26000976562,""metcumul"":31.259998321533}",,2023-08-18T10:51:23-07:00
2023-08-18T09:42:00-07:00,2023-08-18T09:50:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":8.8999996185303,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":435,""distance"":312.58999633789,""metcumul"":20.10000038147}",,2023-08-24T09:07:57-07:00
2023-08-18T12:20:00-07:00,2023-08-18T12:35:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":28.359786987305,""effduration"":1319,""intensity"":0,""pause_duration"":0,""steps"":1688,""distance"":1081.6815185547,""metcumul"":39.174694061279}",,2023-08-24T15:10:09-07:00
2023-08-22T11:17:00-07:00,2023-08-22T11:29:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":12.340000152588,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":707,""distance"":470.54000854492,""metcumul"":30.959999084473}",,2023-08-24T15:10:11-07:00
2023-08-23T14:55:00-07:00,2023-08-23T15:00:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":8.1000003814697,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":459,""distance"":310.35998535156,""metcumul"":18.25}",,2023-08-24T15:10:13-07:00
2023-08-24T08:28:00-07:00,2023-08-24T08:37:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":11.779999732971,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":668,""distance"":426.09002685547,""metcumul"":28.329999923706}",,2023-08-24T15:10:28-07:00
2023-08-24T11:39:00-07:00,2023-08-24T11:55:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":24.460000991821,""effduration"":900,""intensity"":0,""pause_duration"":0,""steps"":1419,""distance"":917.26995849609,""metcumul"":56.020000457764}",,2023-08-24T15:10:28-07:00
2023-08-24T12:31:00-07:00,2023-08-24T12:50:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":25.549999237061,""effduration"":1080,""intensity"":0,""hr_average"":103,""hr_min"":97,""hr_max"":108,""hr_zone_0"":0,""hr_zone_1"":659,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1520,""distance"":981.63989257812,""metcumul"":61.020004272461}",,2023-08-29T16:47:56-07:00
2023-08-29T08:11:00-07:00,2023-08-29T08:18:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":8.3899993896484,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":445,""distance"":284.51901245117,""metcumul"":19.670000076294}",,2023-08-29T16:48:21-07:00
2023-08-29T08:42:00-07:00,2023-08-29T08:55:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":13.239999771118,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":780,""distance"":508.14001464844,""metcumul"":33.090000152588}",,2023-08-29T16:48:21-07:00
2023-08-29T11:16:00-07:00,2023-08-29T11:22:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":5.2699999809265,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":311,""distance"":195.32998657227,""metcumul"":13.619999885559}",,2023-08-29T18:11:33-07:00
2023-08-29T17:37:00-07:00,2023-08-29T17:45:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":9.960000038147,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":578,""distance"":381.85998535156,""metcumul"":23.590000152588}",,2023-08-30T15:17:13-07:00
2023-08-30T08:11:00-07:00,2023-08-30T08:17:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":7.3699998855591,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":387,""distance"":263.55001831055,""metcumul"":16.639999389648}",,2023-08-30T15:17:14-07:00
2023-08-30T08:46:00-07:00,2023-08-30T08:53:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":9.0799999237061,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":522,""distance"":343.82000732422,""metcumul"":21.89999961853}",,2023-08-30T15:17:15-07:00
2023-08-31T08:57:00-07:00,2023-08-31T09:09:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.596415519714,""effduration"":542,""intensity"":0,""pause_duration"":0,""steps"":850,""distance"":545.98089599609,""metcumul"":58.759670257568}",,2023-09-05T14:50:05-07:00
2023-08-31T13:40:00-07:00,2023-08-31T13:51:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.470000267029,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":827,""distance"":538.70001220703,""metcumul"":34.930000305176}",,2023-09-05T14:50:05-07:00
2023-08-31T17:38:00-07:00,2023-08-31T17:45:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.789999961853,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":625,""distance"":413.14996337891,""metcumul"":24.859998703003}",,2023-09-05T14:50:06-07:00
2023-09-03T19:54:00-07:00,2023-09-03T20:03:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":11.840000152588,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":699,""distance"":453.40002441406,""metcumul"":27.699998855591}",,2023-09-05T14:50:07-07:00
2023-09-05T08:29:00-07:00,2023-09-05T08:40:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":26.178815841675,""effduration"":1103,""intensity"":0,""pause_duration"":0,""steps"":1556,""distance"":991.59417724609,""metcumul"":32.066310882568}",,2023-09-05T18:14:07-07:00
2023-09-05T17:18:00-07:00,2023-09-05T17:28:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.279999732971,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":590,""distance"":394.34997558594,""metcumul"":25.870002746582}",,2023-09-07T15:01:46-07:00
2023-09-06T08:36:00-07:00,2023-09-06T08:46:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.139999389648,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":604,""distance"":388.95001220703,""metcumul"":25.14999961853}",,2023-09-07T15:01:47-07:00
2023-09-06T09:51:00-07:00,2023-09-06T09:59:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":15.750232696533,""effduration"":701,""intensity"":0,""pause_duration"":0,""steps"":935,""distance"":600.03375244141,""metcumul"":20.667972564697}",,2023-09-07T15:01:47-07:00
2023-09-07T15:03:00-07:00,2023-09-07T15:15:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":91.323684692383,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":21,""distance"":14.020000457764,""metcumul"":7.5700001716614}",,2023-09-13T07:29:18-07:00
