start,duration,value
2026-07-18T11:29:00+02:00,"[60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[16,37,31,3,-7,-8,-5,-3,-3,-4,5,33,43,8,-7,-3,-2,-5,-3,-1,-6,-5,-2,26,60,22,-4,-7,-6,-5,-6,-3,21,41,17,22,54,57,81,81,15,-2,-6,3,31,14,-7,-7,29,35,0,2,55,64,33,12,3,8,43,27,1,40,72,86,56,25,30,55,54,43,24,7,1,7,4,-3,-3,-6,4,12,26,43,49,31,-2,-7,-7,5,8,52,58,26,27,12,15,20,10,51,29,-1,-4,-2,28,21,18,36,2,-7,16,35,39,29,16,27,55,44,34,39,13,42,101,68,60,90,75,15,2,-4,14,29,3,9,31,46,27,35,56,31,31,5,36,53,43,48,23,16,55,65,47,17,15,26,35,50,34,38,42,17,10,11,-3,-7,5,19,29,43,31,24,7,-7,-3,18,25,35,44,28,20,10,-4,-3]"
2026-07-18T14:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1,-1,-5,-7,-7,8,8,8,11,10,19,33,29,33,31,37,49,44,50,50,63,48,23,24,27,48,27,8,10,12,28,36,20,25,65,56,44,16,23,33,46,29,33,51,49,20,27,60,63,38,17,5,-1,13,28,37,38,31,22,26,29,24,27,6,-5,-3,-2,-6,-6,-6,-8,-7,-7,-8,-8,6,14,3,-1,1,31,54,16,-3,-2,-4,4,6,6,-2,-5,0,1,0,0,-5,-7,3,10,1,1,-1,0,-4,-7,-7,-3,-6,-8,-8,-6,5,22,26,31,30,18,-4,-7,-7,4,16,4,-4,6,-2,-8,-7,-7,-7,-7,2,2,6,22,10,-1,11,21,33,29,11,14,29,33,37,33,42,50,17,4,1,5,24,35,15,3,22,15,15,27,23,25,21,23,10,13,38,38,17,13,15,16,8,26,54,40,4,10,5]"
2026-07-18T17:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60]","[16,30,15,25,16,13,54,50,29,22,22,13,5,18,28,11,12,1,6,41,78,68,34,36,32,21,20,29,20,31,87,78,23,-4,15,31,13,0,11,27,33,31,12,23,37,28,17,11,16,6,16,32,42,33,11,-1,1,4,7,0,19,25,25,3,23,24,8,7,-2,-7,-8,-3,17,32,69,39,28,8,1,20,24,40,74,77,23,6,5,-3,-2,12,36,62,70,60,48,35,27,37,67,21,17,42,48,35,13,7,5,-3,-8,-7,-2,21,35,41,22,23,60,38,21,28,6,20,42]"
2026-07-18T19:32:00+02:00,"[60,60]","[34,37]"
2026-07-09T21:01:00+02:00,"[4200,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[73,94,59,51,63,51,27,40,49,43,25,25,42,42,44,37,35,59,68,55,46,53,62,64,75,43,48,57,43,44,47,56,53,55,92,96,84,74,80,68,44,41,56,61,56,37,28,47,71,63,39,57,81,81,44,31,35,37,32,39,67,71,32,35,59,46,32,40,54,56,69,95,80,38,21,75,68,52,52,84,63,112,82,65,72,64,39,38]"
2026-07-09T23:38:01+02:00,[46319],[38]
2026-07-10T12:30:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[26,22,37,48,14,4,3,6,9,2,4,7,15,34,57,57,32,51,73,57,13,-3,0,-4,-7,-8,-4,8,28,81,130,68,9,-6,-3,-5,-7,-1,-3,-5,-6,-7,-7,-4,32,62,44,35,20,2,-4,22,24,-5,0,16,3,-2,-2,25,35,24,46,45,38,18,11,33,44,68,66,51,33,19,3,-1,25,48,40,27,14,22,22,8,10,25,37,36,16,4,-2,-1,1,16,23,17,7,13,6,3,-2,20,57,44,59,47,65,52,14,4,25,36,50,19,15,39,26,16,11,17,19,13,-1,-1,22,45,27,10,3,2,19,54,27,-1,3,-3,-3,2,4,-4,-4,0,20,26,3,1,-1,-3,16,8,-3,-4,-7,-7,17,39,21,19,28,65,32,1,-3,24,40,42,26,15,27,17,15,16,-4,-1,5,33,41,23,38,41]"
2026-07-10T15:30:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60]","[13,18,14,1,27,29,35,47,38,11,2,-2,14,48,29,32,40,20,37,29,7,21,52,48,31,23,51,30,20,17,11,31,36,27,30,5,5,21,8,-1,-6,16,36,56,31,0,-5,-4,6,16,0,4,11,10,18,35,71,77,39,25,26,18,13,22,22,74,95,56,49,35,33,44,37,46,39,29,51,66,52,51,40,7,-3,3,17,30,30,19,51,46,17,12,8,20,61,35,1,23,36,9,0,0,26,54,84,62,48,32,47,72,32,12,19,27,39,50,31,22,32,71,50,13,15,19,33,25,18,23,18,34,70,54,63,68,60,46,30,50,48,28,24,30,21,2,-2,-5,-5,10,19,6,-5,-6,7,9,19,35,27,13,20,21,0,-7,8,50,33,35,28,7,22,36,17,5,14,1,-7,4,22,61,62,46]"
2026-07-10T18:30:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[64,34,49,81,80,48,43,35,36,57,39,61,32,0,6,38,53,20,10,20,26,35,38,62,36,25,27,11,-2,8,15,28,23,10,26,50,59,70,69,46,25,27,30,21,29,12,24,44,46,16,26,54,44,43,19,23,23,29,28,13,29]"
2026-07-10T19:31:01+02:00,[6919],[0]
2026-07-02T20:15:01+02:00,[17735],[14]
2026-07-02T10:39:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[79,72,8,-1,-4,-8,10,15,-1,-5,0,14,30,24,1,0,-2,-6,-8,-8,6,7,11,22,8,-3,4,10,7,20,19,0,-8,-7,-7,-2,0,8,26,26,23,55,18,17,42,100,52,16,13,29,21,1,8,34,24,7,8,10,-3,0,-2,2,26,13,5,12,4,-5,-7,-8,-6,3,-2,8,16,23,8,-7,-7,-1,47,36,15,27,6,3,21,18,27,23,-4,0,5,18,23,6,-1,25,49,20,-1,3,13,0,2,11,28,8,-3,9,23,23,20,12,21,47,42,9,-1,5,15,12,14,20,23,32,20,5,0,6,25,26,12,16,37,44,25,30,41,41,63,34,34,33,8,1,-5,-7,0,8,-1,-4,-5,-6,-7,-7,-7,-4,-1,4,12,0,-1,1,-1,3,13,30,16,-2,-6,4,20,23,19,20,4,16,51,22]"
2026-07-02T13:39:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[21,26,57,49,45,21,0,9,19,10,15,27,6,-2,4,-1,13,28,8,1,-1,3,-4,-6,24,51,46,49,26,26,31,33,48,45,59,56,58,35,24,27,23,24,13,10,-4,2,29,24,8,31,33,15,5,6,2,9,12,5,2,14,4,17,42,29,18,4,37,72,82,56,66,31,23,24,21,39,32,71,92,37,15,0,2,22,38,60,17,-4,-6,2,9,-2,8,20,7,-2,-5,5,12,1,1,1,3,16,23,29,16,13,25,50,32,76,89,47,57,88,58,25,19,19,26,38,34,63,35,46,28,16,18,2,12,19,22,61,47,34,19,14,25,54,86,73,25,27,46,71,94,76,44,37,7,-1,-1,-3,-2,9,5,-6,-3,-4,-5,6,14,24,11,6,-2,-5,-4,-2,-7,0,10,41,70,58,39,46,24,2]"
2026-07-02T16:39:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[24,48,64,43,50,44,32,31,36,12,22,48,20,19,35,69,46,12,6,35,33,10,8,46,35,9,-1,11,9,28,32,18,10,16,7,3,4,27,56,37,28,53,25,2,21,10,26,41,37,19,7,18,20,9,1,2,-3,17,62,39,10,27,31,31,10,0,1,-1,-6,9,21,27,9,-6,-7,13,32,16,3,-3,-1,0,1,1,17,9,-5,-6,-6,11,9,1,42,63,33,9,3,2,4,2,19,14,-3,-6,-1,8,4,-5,-4,10,22,4,14,38,60,27,36,19,3,7,11,9,24,27,12,25,44,45,16,11,13,35,45,59,92,48,31,30,35,47,106,124,66,13,-2,22,45,31,24,25,18,10,10,13,32,28,17,19,22,26,24,35,44]"
2026-07-02T19:22:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[31,29,34,59,27,26,31,12,4,-1,1,0,-5,-7,-1,32,34,38,50,47,49,75,88,56,19,24,11,6,-2,-7,-5,3,15,12,-1,-5,13,55,78,74,56,26,26,8,9,18,9,20,25,33,22,2,0]"
