start,duration,value
2026-07-18T07:12:15+02:00,[2],[3]
2026-07-18T05:09:12+02:00,[2],[3]
2026-07-18T04:11:00+02:00,[60],[1.36]
2026-07-18T03:10:01+02:00,[185],[3]
2026-07-18T00:46:55+02:00,[249],[6]
2026-07-18T00:58:00+02:00,[60],[1.17]
2026-07-18T00:50:00+02:00,[60],[3.6]
2026-07-17T23:52:00+02:00,"[60,60]","[3.45,2.76]"
2026-07-17T23:46:00+02:00,[60],[3.52]
2026-07-17T08:25:19+02:00,[2],[3]
2026-07-16T23:44:00+02:00,[10],[3]
2026-07-16T22:54:00+02:00,[60],[3.97]
2026-07-14T07:42:13+02:00,[20],[3]
2026-07-14T07:42:00+02:00,[60],[2.33]
2026-07-14T07:30:00+02:00,"[60,60]","[0.95,3]"
2026-07-14T06:10:00+02:00,"[60,60]","[3.59,5.92]"
2026-07-14T06:11:04+02:00,[20],[6]
2026-07-14T04:39:24+02:00,[2],[3]
2026-07-14T04:36:00+02:00,[60],[1.5]
2026-07-14T03:06:00+02:00,"[60,60]","[2.17,0.91]"
2026-07-14T01:51:00+02:00,[60],[0.17]
2026-07-14T01:42:00+02:00,"[60,60,60]","[2.44,4.28,7.89]"
2026-07-14T01:42:45+02:00,[117],[12]
2026-07-14T00:44:46+02:00,[262],[6]
2026-07-14T01:31:00+02:00,[60],[2.44]
2026-07-14T01:06:00+02:00,[60],[3.35]
2026-07-14T01:04:00+02:00,[60],[2.18]
2026-07-14T01:01:00+02:00,[60],[1.59]
2026-07-14T00:42:00+02:00,"[60,60,60,61,59,60,60,60,60,60,60,60,60]","[4.93,3.59,5.02,3.43,5.77,1.33,6.19,3.34,2.77,6.19,4.28,5.03,6.37]"
2026-07-14T00:30:00+02:00,[60],[1.16]
2026-07-13T22:45:00+02:00,[60],[1.17]
2026-07-13T22:38:00+02:00,[60],[2.17]
2026-07-13T20:52:00+02:00,[60],[2.25]
2026-07-13T18:59:01+02:00,[59],[2.56]
2026-07-13T03:13:45+02:00,[2],[3]
2026-07-13T00:40:18+02:00,[2],[3]
2026-07-12T06:07:00+02:00,[60],[3.36]
2026-07-12T05:53:00+02:00,[60],[3.63]
2026-07-12T05:50:00+02:00,[60],[1.9]
2026-07-12T05:41:00+02:00,[60],[1.64]
2026-07-12T05:35:00+02:00,[60],[2.52]
2026-07-12T05:31:00+02:00,[60],[2.24]
2026-07-12T05:28:00+02:00,[60],[5.91]
2026-07-12T05:19:00+02:00,"[60,60]","[4.78,4.01]"
2026-07-12T04:27:00+02:00,[60],[1.17]
2026-07-12T04:05:00+02:00,[60],[1.17]
2026-07-11T22:41:00+02:00,[60],[0.94]
2026-07-11T22:31:00+02:00,[60],[0.17]
2026-07-11T01:34:13+02:00,[2],[3]
2026-07-11T01:34:00+02:00,[60],[3.8]
2026-07-10T08:22:43+02:00,[2],[3]
2026-07-09T04:38:06+02:00,[2],[3]
2026-07-07T05:51:23+02:00,[2],[3]
2026-07-07T04:18:48+02:00,[2],[3]
2026-07-07T04:07:26+02:00,[2],[3]
2026-07-06T08:21:15+02:00,[124],[3]
2026-07-05T03:57:00+02:00,[60],[1.46]
2026-07-05T03:27:00+02:00,[60],[1.91]
2026-07-05T03:22:00+02:00,[60],[0.26]
2026-07-05T03:14:00+02:00,[60],[1.74]
2026-07-05T02:47:00+02:00,[60],[2.18]
2026-07-05T02:38:00+02:00,[60],[2.36]
2026-07-02T04:54:26+02:00,[2],[3]
2026-07-01T06:52:54+02:00,[2],[3]
2026-07-01T06:52:00+02:00,[60],[1.9]
2026-07-01T06:43:00+02:00,[60],[2.07]
2026-07-01T06:36:00+02:00,[60],[10.47]
2026-07-01T05:50:00+02:00,[60],[2.89]
2026-07-01T05:47:00+02:00,"[60,60]","[19.05,0.61]"
2026-07-01T03:10:34+02:00,[2],[3]
2026-07-01T01:41:00+02:00,[60],[0.26]
2026-06-30T22:05:10+02:00,[2],[3]
2026-06-30T23:53:00+02:00,[60],[1.11]
2026-06-30T22:04:00+02:00,"[60,60]","[0.86,4.79]"
2026-06-30T07:17:56+02:00,[2],[3]
2026-06-30T07:17:00+02:00,[60],[3.02]
2026-06-30T07:14:00+02:00,[60],[1.73]
2026-06-29T04:18:00+02:00,[60],[3.11]
2026-06-29T02:54:00+02:00,[60],[3.8]
2026-06-29T02:38:00+02:00,[60],[2.85]
2026-06-29T02:06:00+02:00,[60],[0.09]
2026-06-29T02:01:00+02:00,[60],[3.44]
2026-06-29T01:52:14+02:00,[2],[3]
2026-06-29T01:33:10+02:00,[280],[18]
2026-06-29T01:24:41+02:00,[2],[3]
2026-06-29T01:13:52+02:00,[168],[6]
2026-06-29T01:12:12+02:00,[2],[3]
2026-06-29T01:00:14+02:00,[415],[21]
2026-06-29T00:49:40+02:00,[585],[15]
2026-06-29T01:50:00+02:00,"[60,60,60]","[4.44,2.62,3.54]"
2026-06-29T01:41:00+02:00,[60],[0.91]
2026-06-29T01:31:00+02:00,"[60,60,60,60,60,60,60,60,60]","[1.72,6.32,5.79,7.15,1.26,3.17,7.98,0.54,2.99]"
2026-06-29T01:05:00+02:00,"[60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[3.22,7.52,6.52,5.55,4.84,4.4,3.04,7.09,6.19,7.73,0.36,7.19,3.96,5.03,5.04,4.51,7.2,2.53,2.16,6.49,6.24,0.27,1.89,0.91,2.8]"
2026-06-29T01:02:00+02:00,"[60,60]","[3.21,2.94]"
2026-06-29T00:48:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.98,6.66,4.08,6.13,2.84,2.31,3.38,3.29,4.63,7.56,6.67,5.08,3.74]"
2026-06-29T00:43:00+02:00,[60],[1.07]
2026-06-28T02:52:09+02:00,[2],[3]
2026-06-28T01:11:00+02:00,[60],[2.74]
2026-06-28T01:04:00+02:00,"[60,60]","[4.79,2.83]"
2026-06-28T00:40:00+02:00,[60],[1.45]
2026-06-27T06:23:52+02:00,[5646],[3]
2026-06-27T06:23:00+02:00,[60],[2.32]
2026-06-26T07:28:00+02:00,"[60,60]","[1.47,5.27]"
2026-06-26T07:18:00+02:00,"[60,60,60,60,60,60]","[2.83,3.95,4.82,4.04,2.84,1.04]"
2026-06-26T07:08:00+02:00,"[60,60,60]","[4.55,2.49,3.44]"
2026-06-26T07:06:00+02:00,[60],[0.6]
2026-06-25T09:14:50+02:00,[12],[3]
2026-06-25T09:14:00+02:00,[60],[2.32]
2026-06-25T05:30:00+02:00,[60],[0.94]
2026-06-25T02:19:14+02:00,[5],[3]
2026-06-25T02:18:00+02:00,[60],[1.81]
2026-06-23T07:24:35+02:00,[10],[3]
2026-06-23T07:23:00+02:00,"[60,61]","[2.41,2.41]"
2026-06-22T07:24:46+02:00,[1604],[3]
2026-06-22T06:44:00+02:00,[60],[1.27]
2026-06-21T05:59:00+02:00,[60],[3.36]
2026-06-21T05:16:00+02:00,[60],[1.01]
2026-06-21T05:14:00+02:00,[60],[0.84]
2026-06-21T04:48:00+02:00,[60],[2.09]
2026-06-21T04:37:00+02:00,"[60,60]","[1.5,0.83]"
2026-06-21T04:33:00+02:00,[60],[1.59]
2026-06-21T01:36:00+02:00,"[60,60]","[2.42,1]"
2026-06-19T03:45:56+02:00,[2],[3]
2026-06-19T03:45:00+02:00,[60],[2.93]
2026-06-19T03:15:00+02:00,[60],[2.74]
2026-06-18T06:16:41+02:00,[2113],[3]
2026-06-18T06:19:00+02:00,[60],[2.24]
2026-06-18T06:16:00+02:00,[60],[2.5]
2026-06-18T06:06:00+02:00,[60],[2.6]
2026-06-18T06:00:00+02:00,[60],[4.08]
2026-06-18T05:57:00+02:00,[60],[1.99]
2026-06-18T05:50:00+02:00,"[60,60]","[2.08,2.43]"
2026-06-17T06:48:46+02:00,[2],[3]
2026-06-17T06:48:00+02:00,[60],[1.64]
2026-06-16T23:33:06+02:00,[842],[3]
2026-06-16T23:32:00+02:00,[60],[3.01]
2026-06-13T05:36:54+02:00,[2],[3]
2026-06-13T05:36:00+02:00,[60],[3.88]
2026-06-13T05:12:00+02:00,[60],[2.16]
2026-06-13T02:58:00+02:00,[60],[2.47]
2026-06-13T01:54:00+02:00,"[60,60]","[4.15,0.68]"
2026-06-13T01:37:00+02:00,[60],[4.54]
