start,duration,value
2026-07-16T23:35:52+02:00,[60],[0]
2026-07-16T23:35:51+02:00,[60],[0]
2026-07-16T23:35:50+02:00,[60],[0]
2026-07-16T23:35:49+02:00,[60],[0]
2026-07-16T23:35:48+02:00,[60],[0]
2026-07-16T23:35:47+02:00,[60],[0]
2026-07-16T23:35:46+02:00,[60],[0]
2026-07-16T23:35:45+02:00,[60],[0]
2026-07-16T23:35:44+02:00,[60],[0]
2026-07-16T23:35:43+02:00,[60],[0]
2026-07-16T23:35:42+02:00,[60],[0]
2026-07-16T23:35:41+02:00,[60],[0]
2026-07-16T23:35:40+02:00,[60],[0]
2026-07-16T23:35:39+02:00,[60],[0]
2026-07-16T23:35:38+02:00,[60],[0]
2026-07-16T23:35:37+02:00,[60],[0]
2026-07-16T23:35:36+02:00,[60],[0]
2026-07-16T23:35:35+02:00,[60],[0]
2026-07-16T23:35:34+02:00,[60],[0]
2026-07-16T23:35:33+02:00,[60],[0]
2026-07-16T23:35:32+02:00,[60],[0]
2026-07-16T23:35:31+02:00,[60],[0]
2026-07-16T23:35:30+02:00,[60],[0]
2026-07-16T23:35:29+02:00,[60],[0]
2026-07-16T23:35:28+02:00,[60],[0]
2026-07-16T23:35:27+02:00,[60],[0]
2026-07-16T23:35:26+02:00,[60],[0]
2026-07-16T23:35:25+02:00,[60],[0]
2026-07-16T23:35:24+02:00,[60],[0]
2026-07-16T23:35:23+02:00,[60],[0]
2026-07-16T23:35:22+02:00,[60],[0]
2026-07-16T23:35:21+02:00,[60],[0]
2026-07-16T23:35:20+02:00,[60],[0]
2026-07-16T23:35:19+02:00,[60],[0]
2026-07-16T23:35:18+02:00,[60],[0]
2026-07-16T23:35:17+02:00,[60],[0]
2026-07-16T23:35:16+02:00,[60],[0]
2026-07-16T23:35:15+02:00,[60],[0]
2026-07-16T23:35:14+02:00,[60],[0]
2026-07-16T23:35:13+02:00,[60],[0]
2026-07-16T23:35:12+02:00,[60],[0]
2026-07-16T23:35:11+02:00,[60],[0]
2026-07-16T23:35:10+02:00,[60],[0]
2026-07-16T23:35:09+02:00,[60],[0]
2026-07-16T23:35:08+02:00,[60],[0]
2026-07-16T23:35:07+02:00,[60],[0]
2026-07-16T23:35:06+02:00,[60],[0]
2026-07-16T23:35:05+02:00,[60],[0]
2026-07-16T23:35:04+02:00,[60],[0]
2026-07-16T23:35:03+02:00,[60],[0]
2026-07-16T23:35:02+02:00,[60],[0]
2026-07-16T23:35:01+02:00,[60],[0]
2026-07-16T23:35:00+02:00,[60],[0]
2026-07-16T23:34:59+02:00,[60],[0]
2026-07-16T23:34:58+02:00,[60],[0]
2026-07-16T23:34:57+02:00,[60],[0]
2026-07-16T23:34:56+02:00,[60],[0]
2026-07-16T23:34:55+02:00,[60],[0]
2026-07-16T23:34:54+02:00,[60],[0]
2026-07-16T23:34:53+02:00,[60],[0]
2026-07-16T23:34:52+02:00,[60],[0]
2026-07-16T23:34:51+02:00,[60],[0]
