start,duration,value
2026-07-16T22:57:34+02:00,[60],[6.293]
2026-07-16T22:57:52+02:00,[60],[6.293]
2026-07-16T22:57:53+02:00,[60],[5.796]
2026-07-16T22:57:55+02:00,[60],[20.79]
2026-07-16T22:57:56+02:00,[60],[25.295]
2026-07-16T22:57:57+02:00,[60],[15.677]
2026-07-16T22:57:58+02:00,[60],[8.415]
2026-07-16T22:57:59+02:00,[60],[6.565]
2026-07-16T22:58:00+02:00,[60],[6.49]
2026-07-16T22:58:01+02:00,[60],[6.508]
2026-07-16T22:58:02+02:00,[60],[6.134]
2026-07-16T22:58:03+02:00,[60],[5.62]
2026-07-16T22:58:04+02:00,[60],[5.366]
2026-07-16T22:58:05+02:00,[60],[5.19]
2026-07-16T22:58:06+02:00,[60],[4.932]
2026-07-16T22:58:07+02:00,[60],[4.932]
2026-07-16T22:58:08+02:00,[60],[4.775]
2026-07-16T22:58:09+02:00,[60],[4.749]
2026-07-16T22:58:10+02:00,[60],[4.749]
2026-07-16T22:58:11+02:00,[60],[4.749]
2026-07-16T22:58:12+02:00,[60],[4.749]
2026-07-16T22:58:13+02:00,[60],[5.171]
2026-07-16T22:58:14+02:00,[60],[4.749]
2026-07-16T22:58:15+02:00,[60],[4.749]
2026-07-16T22:58:16+02:00,[60],[4.749]
2026-07-16T22:58:17+02:00,[60],[4.749]
2026-07-16T22:58:18+02:00,[60],[4.749]
2026-07-16T22:58:19+02:00,[60],[4.749]
2026-07-16T22:58:20+02:00,[60],[4.749]
2026-07-16T22:58:21+02:00,[60],[4.749]
2026-07-16T22:58:22+02:00,[60],[4.749]
2026-07-16T22:58:23+02:00,[60],[4.749]
2026-07-16T22:58:24+02:00,[60],[4.749]
2026-07-16T22:58:25+02:00,[60],[4.749]
2026-07-16T22:58:26+02:00,[60],[4.749]
2026-07-16T22:58:27+02:00,[60],[8.442]
2026-07-16T22:58:28+02:00,[60],[8.23]
2026-07-16T22:58:29+02:00,[60],[8.23]
2026-07-16T22:58:30+02:00,[60],[8.23]
2026-07-16T22:58:31+02:00,[60],[8.035]
2026-07-16T22:58:32+02:00,[60],[8.003]
2026-07-16T22:58:34+02:00,[60],[8.928]
2026-07-16T22:58:35+02:00,[60],[8.996]
2026-07-16T22:58:36+02:00,[60],[9.204]
2026-07-16T22:58:37+02:00,[60],[9.566]
2026-07-16T22:58:38+02:00,[60],[9.436]
2026-07-16T22:58:39+02:00,[60],[9.378]
2026-07-16T22:58:40+02:00,[60],[9.323]
2026-07-16T22:58:41+02:00,[60],[9.323]
2026-07-16T22:58:42+02:00,[60],[9.323]
2026-07-16T22:58:43+02:00,[60],[9.363]
2026-07-16T22:58:44+02:00,[60],[9.24]
2026-07-16T22:58:45+02:00,[60],[9.181]
2026-07-16T22:58:46+02:00,[60],[9.181]
2026-07-16T22:58:47+02:00,[60],[9.125]
2026-07-16T22:58:48+02:00,[60],[9.095]
2026-07-16T22:58:49+02:00,[60],[9.078]
2026-07-16T22:58:50+02:00,[60],[9.067]
2026-07-16T22:58:51+02:00,[60],[9.12]
2026-07-16T22:58:52+02:00,[60],[9.12]
2026-07-16T22:58:53+02:00,[60],[9.116]
2026-07-16T22:58:54+02:00,[60],[9.116]
2026-07-16T22:58:55+02:00,[60],[9.116]
2026-07-16T22:58:56+02:00,[60],[9.113]
2026-07-16T22:58:57+02:00,[60],[9.113]
2026-07-16T22:58:58+02:00,[60],[9.113]
2026-07-16T22:58:59+02:00,[60],[9.12]
2026-07-16T22:59:00+02:00,[60],[9.12]
2026-07-16T22:59:01+02:00,[60],[9.189]
2026-07-16T22:59:02+02:00,[60],[9.159]
2026-07-16T22:59:03+02:00,[60],[9.191]
2026-07-16T22:59:04+02:00,[60],[9.191]
2026-07-16T22:59:05+02:00,[60],[9.403]
2026-07-16T22:59:06+02:00,[60],[9.403]
2026-07-16T22:59:07+02:00,[60],[9.403]
2026-07-16T22:59:08+02:00,[60],[9.403]
2026-07-16T22:59:09+02:00,[60],[9.403]
2026-07-16T22:59:10+02:00,[60],[9.35]
2026-07-16T22:59:11+02:00,[60],[9.35]
2026-07-16T22:59:12+02:00,[60],[9.314]
2026-07-16T22:59:13+02:00,[60],[9.289]
2026-07-16T22:59:14+02:00,[60],[9.289]
2026-07-16T22:59:15+02:00,[60],[9.264]
2026-07-16T22:59:16+02:00,[60],[9.137]
2026-07-16T22:59:17+02:00,[60],[9.148]
2026-07-16T22:59:18+02:00,[60],[9.152]
2026-07-16T22:59:19+02:00,[60],[9.168]
2026-07-16T22:59:20+02:00,[60],[9.189]
2026-07-16T22:59:21+02:00,[60],[9.219]
2026-07-16T22:59:22+02:00,[60],[9.218]
2026-07-16T22:59:23+02:00,[60],[9.156]
2026-07-16T22:59:24+02:00,[60],[9.084]
2026-07-16T22:59:25+02:00,[60],[9.084]
2026-07-16T22:59:26+02:00,[60],[9.026]
2026-07-16T22:59:27+02:00,[60],[8.933]
2026-07-16T22:59:28+02:00,[60],[8.896]
2026-07-16T22:59:29+02:00,[60],[8.823]
2026-07-16T22:59:30+02:00,[60],[8.787]
2026-07-16T22:59:31+02:00,[60],[8.698]
2026-07-16T22:59:32+02:00,[60],[8.787]
2026-07-16T22:59:33+02:00,[60],[8.725]
2026-07-16T22:59:34+02:00,[60],[8.725]
2026-07-16T22:59:35+02:00,[60],[8.887]
2026-07-16T22:59:36+02:00,[60],[8.902]
2026-07-16T22:59:37+02:00,[60],[8.868]
2026-07-16T22:59:38+02:00,[60],[8.868]
2026-07-16T22:59:39+02:00,[60],[8.758]
2026-07-16T22:59:40+02:00,[60],[8.73]
2026-07-16T22:59:41+02:00,[60],[8.778]
2026-07-16T22:59:42+02:00,[60],[8.81]
2026-07-16T22:59:43+02:00,[60],[8.884]
2026-07-16T22:59:44+02:00,[60],[8.884]
2026-07-16T22:59:45+02:00,[60],[8.875]
2026-07-16T22:59:46+02:00,[60],[8.815]
2026-07-16T22:59:47+02:00,[60],[8.815]
2026-07-16T22:59:48+02:00,[60],[8.714]
2026-07-16T22:59:49+02:00,[60],[8.714]
2026-07-16T22:59:50+02:00,[60],[8.759]
2026-07-16T22:59:51+02:00,[60],[8.768]
2026-07-16T22:59:52+02:00,[60],[8.768]
2026-07-16T22:59:53+02:00,[60],[8.794]
2026-07-16T22:59:54+02:00,[60],[8.794]
2026-07-16T22:59:55+02:00,[60],[8.758]
2026-07-16T22:59:56+02:00,[60],[8.856]
2026-07-16T22:59:57+02:00,[60],[8.856]
2026-07-16T22:59:58+02:00,[60],[8.856]
2026-07-16T22:59:59+02:00,[60],[8.856]
2026-07-16T23:00:00+02:00,[60],[9.053]
2026-07-16T23:00:01+02:00,[60],[9.015]
2026-07-16T23:00:02+02:00,[60],[8.991]
2026-07-16T23:00:03+02:00,[60],[8.997]
2026-07-16T23:00:04+02:00,[60],[9.083]
