start,duration,value
2026-07-16T22:57:34+02:00,[60],[33.956669]
2026-07-16T22:57:52+02:00,[60],[33.956669]
2026-07-16T22:57:53+02:00,[60],[33.95668]
2026-07-16T22:57:55+02:00,[60],[33.956715]
2026-07-16T22:57:56+02:00,[60],[33.956718]
2026-07-16T22:57:57+02:00,[60],[33.956718]
2026-07-16T22:57:58+02:00,[60],[33.956718]
2026-07-16T22:57:59+02:00,[60],[33.956718]
2026-07-16T22:58:00+02:00,[60],[33.956718]
2026-07-16T22:58:01+02:00,[60],[33.956718]
2026-07-16T22:58:02+02:00,[60],[33.956718]
2026-07-16T22:58:03+02:00,[60],[33.956718]
2026-07-16T22:58:04+02:00,[60],[33.956718]
2026-07-16T22:58:05+02:00,[60],[33.956718]
2026-07-16T22:58:06+02:00,[60],[33.956718]
2026-07-16T22:58:07+02:00,[60],[33.956718]
2026-07-16T22:58:08+02:00,[60],[33.956718]
2026-07-16T22:58:09+02:00,[60],[33.956718]
2026-07-16T22:58:10+02:00,[60],[33.956718]
2026-07-16T22:58:11+02:00,[60],[33.956718]
2026-07-16T22:58:12+02:00,[60],[33.956718]
2026-07-16T22:58:13+02:00,[60],[33.956718]
2026-07-16T22:58:14+02:00,[60],[33.956718]
2026-07-16T22:58:15+02:00,[60],[33.956806]
2026-07-16T22:58:16+02:00,[60],[33.956806]
2026-07-16T22:58:17+02:00,[60],[33.956806]
2026-07-16T22:58:18+02:00,[60],[33.956806]
2026-07-16T22:58:19+02:00,[60],[33.956806]
2026-07-16T22:58:20+02:00,[60],[33.956806]
2026-07-16T22:58:21+02:00,[60],[33.956806]
2026-07-16T22:58:22+02:00,[60],[33.956806]
2026-07-16T22:58:23+02:00,[60],[33.956806]
2026-07-16T22:58:24+02:00,[60],[33.956806]
2026-07-16T22:58:25+02:00,[60],[33.956806]
2026-07-16T22:58:26+02:00,[60],[33.956806]
2026-07-16T22:58:27+02:00,[60],[33.956806]
2026-07-16T22:58:28+02:00,[60],[33.956806]
2026-07-16T22:58:29+02:00,[60],[33.95681]
2026-07-16T22:58:30+02:00,[60],[33.95681]
2026-07-16T22:58:31+02:00,[60],[33.956814]
2026-07-16T22:58:32+02:00,[60],[33.956818]
2026-07-16T22:58:34+02:00,[60],[33.95681]
2026-07-16T22:58:35+02:00,[60],[33.95681]
2026-07-16T22:58:36+02:00,[60],[33.95681]
2026-07-16T22:58:37+02:00,[60],[33.95681]
2026-07-16T22:58:38+02:00,[60],[33.95681]
2026-07-16T22:58:39+02:00,[60],[33.95681]
2026-07-16T22:58:40+02:00,[60],[33.95681]
2026-07-16T22:58:41+02:00,[60],[33.95681]
2026-07-16T22:58:42+02:00,[60],[33.95681]
2026-07-16T22:58:43+02:00,[60],[33.95681]
2026-07-16T22:58:44+02:00,[60],[33.95681]
2026-07-16T22:58:45+02:00,[60],[33.95681]
2026-07-16T22:58:46+02:00,[60],[33.95681]
2026-07-16T22:58:47+02:00,[60],[33.95681]
2026-07-16T22:58:48+02:00,[60],[33.95681]
2026-07-16T22:58:49+02:00,[60],[33.95681]
2026-07-16T22:58:50+02:00,[60],[33.95681]
2026-07-16T22:58:51+02:00,[60],[33.95681]
2026-07-16T22:58:52+02:00,[60],[33.95681]
2026-07-16T22:58:53+02:00,[60],[33.95681]
2026-07-16T22:58:54+02:00,[60],[33.95681]
2026-07-16T22:58:55+02:00,[60],[33.95681]
2026-07-16T22:58:56+02:00,[60],[33.95681]
2026-07-16T22:58:57+02:00,[60],[33.95681]
2026-07-16T22:58:58+02:00,[60],[33.95681]
2026-07-16T22:58:59+02:00,[60],[33.95681]
2026-07-16T22:59:00+02:00,[60],[33.95681]
2026-07-16T22:59:01+02:00,[60],[33.95681]
2026-07-16T22:59:02+02:00,[60],[33.95681]
2026-07-16T22:59:03+02:00,[60],[33.95681]
2026-07-16T22:59:04+02:00,[60],[33.95681]
2026-07-16T22:59:05+02:00,[60],[33.95681]
2026-07-16T22:59:06+02:00,[60],[33.95681]
2026-07-16T22:59:07+02:00,[60],[33.95681]
2026-07-16T22:59:08+02:00,[60],[33.95681]
2026-07-16T22:59:09+02:00,[60],[33.95681]
2026-07-16T22:59:10+02:00,[60],[33.95681]
2026-07-16T22:59:11+02:00,[60],[33.95681]
2026-07-16T22:59:12+02:00,[60],[33.95681]
