start,duration,value
2026-07-17T21:24:19+02:00,[3],"[0,0]"
2026-07-17T23:02:00+02:00,[60],"[140.38,140.38]"
2026-07-17T23:04:00+02:00,"[60,60]","[145.5,145.5,145.5,145.5]"
2026-07-17T23:08:00+02:00,"[60,60,60]","[144.79,140.39,135.91,144.79,140.39,135.91]"
2026-07-17T23:14:00+02:00,"[60,60,60]","[145.51,142.23,141.74,145.51,142.23,141.74]"
2026-07-17T23:22:00+02:00,[60],"[124.38,124.38]"
2026-07-17T23:28:00+02:00,"[60,60]","[131.35,134.62,131.35,134.62]"
2026-07-17T23:37:00+02:00,"[60,60,60,60]","[135.91,131.35,135.27,132.07,135.91,131.35,135.27,132.07]"
2026-07-17T23:45:00+02:00,[60],"[131.34,131.34]"
2026-07-17T23:49:00+02:00,[60],"[130.07,130.07]"
2026-07-17T23:52:00+02:00,[60],"[129.509,129.509]"
2026-07-17T23:58:00+02:00,[60],"[129.43,129.43]"
2026-07-18T00:01:00+02:00,"[60,60]","[130.06,131.43,130.06,131.43]"
2026-07-18T00:43:00+02:00,"[60,60,60]","[141.67,146.79,130.78,141.67,146.79,130.78]"
2026-07-18T00:47:00+02:00,[60],"[135.9,135.9]"
2026-07-18T00:50:00+02:00,[60],"[136.55,136.55]"
2026-07-18T00:52:00+02:00,[60],"[131.4,131.4]"
2026-07-18T00:56:00+02:00,[60],"[140.31,140.31]"
2026-07-18T00:58:00+02:00,"[60,60,60,60]","[141.81,140.39,135.91,135.17,141.81,140.39,135.91,135.17]"
2026-07-18T00:17:00+02:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T00:30:00+02:00,[60],"[0,0]"
2026-07-18T00:34:00+02:00,[60],"[0,0]"
2026-07-18T00:36:00+02:00,[60],"[0,0]"
2026-07-18T00:41:00+02:00,[60],"[0,0]"
2026-07-18T00:34:42+02:00,[68],"[0,0]"
2026-07-18T01:44:59+02:00,"[13,3]","[0,0,0,0]"
2026-07-18T02:26:35+02:00,[591],"[0,0]"
2026-07-18T02:40:43+02:00,[270],"[0,0]"
2026-07-18T03:09:45+02:00,[296],"[0,0]"
2026-07-18T03:49:00+02:00,[60],"[0,0]"
2026-07-18T03:51:00+02:00,[60],"[0,0]"
2026-07-18T03:56:00+02:00,[60],"[0,0]"
2026-07-18T04:00:00+02:00,[60],"[0,0]"
2026-07-18T04:44:35+02:00,[573],"[0,0]"
2026-07-18T04:57:47+02:00,[313],"[0,0]"
2026-07-18T05:08:39+02:00,[112],"[0,0]"
2026-07-18T06:03:55+02:00,[270],"[0,0]"
2026-07-18T06:18:41+02:00,[346],"[0,0]"
2026-07-18T06:24:27+02:00,[594],"[0,0]"
2026-07-18T06:34:23+02:00,[138],"[0,0]"
2026-07-18T07:11:34+02:00,[484],"[0,0]"
2026-07-18T08:58:16+02:00,[3],"[0,0]"
2026-07-18T10:38:02+02:00,[467],"[0,0]"
2026-07-18T10:49:00+02:00,[60],"[130.69,130.69]"
2026-07-18T11:06:00+02:00,"[120,180,960,420,720,900,180,2280,60,1320,60,60,240,1140,660,120]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T10:58:57+02:00,[510],"[0,0]"
2026-07-18T13:43:00+02:00,"[420,180,60,1320,360,1140,60,240,540,720,600,780,360]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T15:36:00+02:00,"[4200,60,660,1740,1200,60,240,60,1440]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T18:17:00+02:00,"[1200,300,120,120,1320,721,719]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T19:32:27+02:00,[60],"[0,0]"
2026-07-16T20:21:29+02:00,[2],"[0,0]"
2026-07-16T21:53:00+02:00,[2],"[0,0]"
2026-07-16T22:12:26+02:00,[82],"[0,0]"
2026-07-16T22:23:52+02:00,[5],"[0,0]"
2026-07-16T22:44:00+02:00,[60],"[130.13,130.13]"
2026-07-16T22:47:00+02:00,[60],"[130.22,130.22]"
2026-07-16T22:52:00+02:00,"[60,60,60]","[130.21,136.12,130.28,130.21,136.12,130.28]"
2026-07-16T22:56:00+02:00,[60],"[141.03,141.03]"
2026-07-16T23:08:00+02:00,[29],"[0,0]"
2026-07-16T23:12:00+02:00,"[60,60,60,60]","[134.9,128.56,128.56,130.22,134.9,128.56,128.56,130.22]"
2026-07-16T23:16:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-16T23:23:00+02:00,[60],"[0,0]"
2026-07-16T23:24:00+02:00,[60],"[131.33,131.33]"
2026-07-16T23:26:00+02:00,"[60,60,60,60,60,60,60,60,60]","[134.91,129.78,134.33,134.32,130.35,133.68,133.68,130.289,134.33,134.91,129.78,134.33,134.32,130.35,133.68,133.68,130.289,134.33]"
2026-07-16T23:35:00+02:00,[60],"[135.47,135.47]"
2026-07-16T23:36:00+02:00,[31],"[0,0]"
2026-07-16T23:46:00+02:00,[60],"[0,0]"
2026-07-16T23:38:11+02:00,[456],"[0,0]"
2026-07-17T00:51:55+02:00,"[397,3]","[0,0,0,0]"
2026-07-17T01:39:32+02:00,[13],"[0,0]"
2026-07-17T05:42:08+02:00,[2],"[0,0]"
2026-07-17T06:20:58+02:00,[3],"[0,0]"
2026-07-17T06:44:00+02:00,[60],"[135.19,135.19]"
2026-07-17T06:53:00+02:00,"[60,60]","[141.02,135.9,141.02,135.9]"
2026-07-17T06:56:00+02:00,[60],"[131.99,131.99]"
2026-07-17T07:11:00+02:00,"[60,60]","[151.54,135.97,151.54,135.97]"
2026-07-17T07:14:00+02:00,"[60,60,60,60]","[136.47,136.55,140.39,140.95,136.47,136.55,140.39,140.95]"
2026-07-17T07:27:00+02:00,[60],"[135.91,135.91]"
2026-07-17T07:34:00+02:00,"[60,60]","[130.22,123.75,130.22,123.75]"
2026-07-17T07:37:00+02:00,[60],"[142.31,142.31]"
2026-07-17T07:42:00+02:00,[60],"[135.41,135.41]"
2026-07-17T07:44:00+02:00,"[60,60]","[131.43,130.71,131.43,130.71]"
2026-07-17T07:52:00+02:00,"[60,60,60]","[136.62,141.1,135.4,136.62,141.1,135.4]"
2026-07-17T07:59:00+02:00,"[60,60]","[130.85,141.31,130.85,141.31]"
2026-07-17T08:02:00+02:00,[60],"[135.83,135.83]"
2026-07-17T08:07:00+02:00,[60],"[131.43,131.43]"
2026-07-17T08:14:00+02:00,[60],"[136.62,136.62]"
2026-07-17T08:16:00+02:00,"[60,60]","[135.83,130.93,135.83,130.93]"
2026-07-17T08:19:00+02:00,[60],"[135.98,135.98]"
2026-07-17T08:25:00+02:00,"[60,60]","[124.39,140.39,124.39,140.39]"
2026-07-17T08:29:00+02:00,[60],"[145.51,145.51]"
2026-07-17T06:48:00+02:00,"[60,60,60]","[0,0,0,0,0,0]"
2026-07-17T06:59:00+02:00,[60],"[0,0]"
2026-07-17T07:01:00+02:00,[60],"[0,0]"
2026-07-17T07:06:00+02:00,[60],"[0,0]"
2026-07-17T07:10:00+02:00,[60],"[0,0]"
2026-07-17T08:13:00+02:00,[60],"[0,0]"
2026-07-17T10:34:00+02:00,[60],"[125.62,125.62]"
2026-07-17T11:06:00+02:00,[60],"[137.18,137.18]"
2026-07-17T11:12:39+02:00,[1800],"[0,0]"
2026-07-17T11:29:00+02:00,"[120,180,720,840,960,180,480,540,180,240,660,300,120,60,300,600,1920,2220,1320,360,1260,540,780,240,720,2820,360,300,180,900,1740,420,900,300,720,480,3360]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-18T03:13:00+02:00,[60],"[150.63,150.63]"
2026-07-18T03:15:00+02:00,[60],"[135.83,135.83]"
2026-07-18T03:17:00+02:00,[60],"[146.15,146.15]"
2026-07-18T03:19:00+02:00,[60],"[140.46,140.46]"
2026-07-18T03:22:00+02:00,[60],"[131.43,131.43]"
2026-07-18T03:24:00+02:00,[60],"[132.07,132.07]"
2026-07-18T03:26:00+02:00,"[60,60]","[130.71,130.71,130.71,130.71]"
2026-07-18T03:31:00+02:00,"[60,60,60]","[131.41,136.76,130.22,131.41,136.76,130.22]"
2026-07-18T03:36:00+02:00,[60],"[130.15,130.15]"
2026-07-18T03:40:00+02:00,"[60,60,60]","[134.83,129.57,135.98,134.83,129.57,135.98]"
2026-07-18T03:45:00+02:00,"[60,60,60,60]","[130.19,130.86,128.43,125,130.19,130.86,128.43,125]"
2026-07-18T03:54:00+02:00,"[60,60]","[131.43,131.34,131.43,131.34]"
2026-07-18T04:01:00+02:00,"[60,60]","[140.53,141.81,140.53,141.81]"
2026-07-18T04:10:00+02:00,"[60,60]","[130.07,137.18,130.07,137.18]"
2026-07-15T22:11:14+02:00,[5],"[0,0]"
2026-07-16T00:22:33+02:00,[267],"[0,0]"
2026-07-16T01:19:28+02:00,"[5,3]","[0,0,0,0]"
2026-07-16T02:25:36+02:00,[463],"[0,0]"
2026-07-16T02:33:22+02:00,[2],"[0,0]"
2026-07-16T07:07:04+02:00,[5],"[0,0]"
2026-07-16T10:00:54+02:00,[8],"[0,0]"
2026-07-16T10:02:44+02:00,[56],"[0,0]"
2026-07-16T10:58:00+02:00,[60],"[0,0]"
2026-07-16T11:11:00+02:00,[60],"[132.63,132.63]"
2026-07-16T11:21:00+02:00,[60],"[140.94,140.94]"
2026-07-16T11:22:04+02:00,[1800],"[0,0]"
2026-07-16T11:24:57+02:00,[5074],"[0,0]"
2026-07-16T16:35:00+02:00,"[1440,120,480,3600,240,120,60,1200,900,1440,900,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-16T11:31:00+02:00,"[120,180,1020,2640,180,420,240,60,840,720,1440,480,60,120]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-16T13:53:00+02:00,"[2940,60,840,1740,1920,60,2160]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-14T21:40:58+02:00,[2],"[0,0]"
2026-07-14T21:50:08+02:00,[3],"[0,0]"
2026-07-15T00:52:18+02:00,[3],"[0,0]"
2026-07-15T03:07:52+02:00,[10],"[0,0]"
2026-07-15T04:41:11+02:00,[3],"[0,0]"
2026-07-15T04:52:54+02:00,[11],"[0,0]"
2026-07-15T08:47:43+02:00,[5],"[0,0]"
2026-07-15T09:49:49+02:00,[12],"[0,0]"
2026-07-15T10:54:00+02:00,[60],"[0,0]"
2026-07-15T11:02:00+02:00,[60],"[131.96,131.96]"
2026-07-15T11:13:00+02:00,"[120,180,1200,2940,120,480,420,780,1020,2880]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-15T14:02:00+02:00,"[60,360,60,60,300,2640,300,180,660,480,720,1740,1380,1680]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-15T16:59:00+02:00,"[1080,1440,1800,420,1020,1560,360,120,240,360,120]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2026-07-13T20:12:00+02:00,"[61,59,60,60,60,60,60]","[141.67,140.39,134.84,140.1,141.16,134.98,129.5,141.67,140.39,134.84,140.1,141.16,134.98,129.5]"
2026-07-13T20:22:00+02:00,"[60,60]","[130.85,141.24,130.85,141.24]"
2026-07-13T20:29:00+02:00,"[60,60]","[130.15,139.38,130.15,139.38]"
2026-07-13T20:41:00+02:00,[60],"[126.29,126.29]"
2026-07-13T20:50:00+02:00,"[60,60,60]","[136.05,136.04,129.43,136.05,136.04,129.43]"
2026-07-13T21:53:00+02:00,[60],"[0,0]"
2026-07-13T22:25:00+02:00,[60],"[0,0]"
2026-07-13T23:31:00+02:00,[60],"[0,0]"
2026-07-13T23:48:00+02:00,"[60,60]","[0,0,0,0]"
2026-07-14T00:00:00+02:00,[60],"[0,0]"
2026-07-14T00:15:00+02:00,[60],"[0,0]"
2026-07-13T22:09:00+02:00,[60],"[126.18,126.18]"
2026-07-13T22:26:00+02:00,[60],"[135.83,135.83]"
2026-07-13T22:29:00+02:00,[60],"[146.07,146.07]"
2026-07-13T22:34:00+02:00,[60],"[135.27,135.27]"
2026-07-13T22:37:00+02:00,"[60,60,60]","[136.47,134.7,140.67,136.47,134.7,140.67]"
2026-07-13T22:41:00+02:00,"[60,60,60,60,60,60]","[134.84,140.53,131.41,134.7,134.13,136.54,134.84,140.53,131.41,134.7,134.13,136.54]"
2026-07-13T22:49:00+02:00,"[60,60]","[130.85,135.98,130.85,135.98]"
2026-07-13T22:52:00+02:00,"[60,60]","[136.68,129.43,136.68,129.43]"
2026-07-13T22:57:00+02:00,"[60,60,60,60]","[135.41,140.74,134.9,130.15,135.41,140.74,134.9,130.15]"
2026-07-13T23:05:00+02:00,[60],"[134.7,134.7]"
2026-07-13T23:07:00+02:00,[60],"[136.62,136.62]"
2026-07-13T23:11:00+02:00,"[60,60,60,60]","[130.789,145.78,151.62,141.1,130.789,145.78,151.62,141.1]"
2026-07-13T23:16:00+02:00,[60],"[141.67,141.67]"
2026-07-13T23:21:00+02:00,[60],"[146.85,146.85]"
2026-07-13T23:23:00+02:00,"[60,60]","[145.07,141.3,145.07,141.3]"
2026-07-13T23:33:00+02:00,[60],"[136.54,136.54]"
2026-07-13T23:37:00+02:00,"[60,60,61,59]","[140.39,145.43,146.22,130.91,140.39,145.43,146.22,130.91]"
2026-07-13T23:42:00+02:00,"[60,60]","[130.699,127.48,130.699,127.48]"
2026-07-13T23:49:00+02:00,[60],"[136.62,136.62]"
2026-07-14T00:04:00+02:00,[60],"[131.33,131.33]"
2026-07-14T00:22:00+02:00,"[60,60,60]","[135.83,134.63,146.86,135.83,134.63,146.86]"
2026-07-14T00:30:00+02:00,"[60,60,60,61,59,60,60,60,60]","[145.86,129.21,145.85,145.85,140.72,141.37,145.78,145.65,141.03,145.86,129.21,145.85,145.85,140.72,141.37,145.78,145.65,141.03]"
2026-07-14T00:40:00+02:00,"[60,60,60,60,60,61,59,60,60,60,60,60,60,60,60]","[136.47,140.53,140.09,140.09,146.49,141.38,134.32,147,133.69,141.74,150.84,141.3,145.85,146.42,135.54,136.47,140.53,140.09,140.09,146.49,141.38,134.32,147,133.69,141.74,150.84,141.3,145.85,146.42,135.54]"
2026-07-14T00:56:00+02:00,[60],"[146.28,146.28]"
2026-07-14T01:00:00+02:00,"[60,60]","[141.67,130.85,141.67,130.85]"
2026-07-14T01:03:00+02:00,"[60,60,60,60,60,60]","[140.52,145.65,135.55,136.11,146.28,141.16,140.52,145.65,135.55,136.11,146.28,141.16]"
2026-07-14T01:09:00+02:00,[60],"[0,0]"
2026-07-14T01:29:00+02:00,[60],"[0,0]"
2026-07-14T02:42:00+02:00,[60],"[0,0]"
2026-07-14T02:50:00+02:00,"[60,60]","[0,0,0,0]"
