start,duration,value
2023-08-10T04:05:00+02:00,[60],[0]
2023-08-10T03:26:00+02:00,"[60,60]","[0,0]"
2023-08-10T03:20:00+02:00,"[61,59,60,60]","[0,0,0,0]"
2023-08-10T03:18:00+02:00,[60],[0]
2023-08-10T03:16:00+02:00,[60],[0]
2023-08-10T03:14:00+02:00,[60],[0]
2023-08-10T02:53:00+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2023-08-10T02:47:00+02:00,[60],[0]
2023-08-10T02:39:00+02:00,[60],[0]
2023-08-10T02:35:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-10T02:32:00+02:00,"[60,60]","[0,0]"
2023-08-10T02:27:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-10T02:15:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-10T02:10:00+02:00,[60],[0]
2023-08-10T01:49:00+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2023-08-10T01:47:00+02:00,[60],[0]
2023-08-10T01:44:00+02:00,[60],[0]
2023-08-10T01:42:00+02:00,[60],[0]
2023-08-10T01:39:00+02:00,"[60,60]","[0,0]"
2023-08-10T01:37:00+02:00,[60],[0]
2023-08-10T01:34:00+02:00,"[60,60]","[0,0]"
2023-08-10T01:31:00+02:00,[60],[0]
2023-08-10T01:27:00+02:00,"[61,59]","[0,0]"
2023-08-10T01:23:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-10T01:13:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-10T01:11:00+02:00,[60],[0]
2023-08-10T01:05:00+02:00,"[60,60]","[0,0]"
2023-08-10T00:42:00+02:00,"[60,60,60,60,60,60,60,61,59,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-10T00:37:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-10T00:34:00+02:00,[60],[0]
2023-08-10T00:28:00+02:00,"[60,60]","[0,0]"
2023-08-10T00:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0]"
2023-08-10T00:11:00+02:00,[60],[0]
2023-08-10T00:07:00+02:00,[60],[0]
2023-08-09T23:46:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-09T23:42:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-09T23:37:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-09T23:27:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-09T23:23:00+02:00,[60],[0]
2023-08-09T23:20:00+02:00,"[60,60]","[0,0]"
2023-08-09T23:12:00+02:00,"[60,60]","[0,0]"
2023-08-09T23:09:00+02:00,"[60,60]","[0,0]"
2023-08-09T23:04:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-09T22:59:00+02:00,[60],[0]
2023-08-09T22:54:00+02:00,"[60,60]","[0,0]"
2023-08-09T22:45:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-09T22:39:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-09T22:36:00+02:00,[60],[0]
2023-08-09T22:31:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-09T22:28:00+02:00,"[60,60]","[0,0]"
2023-08-09T08:44:00+02:00,[60],[0]
2023-08-09T08:31:00+02:00,[60],[0]
2023-08-09T06:03:00+02:00,[60],[0]
2023-08-09T05:56:00+02:00,[60],[0]
2023-08-09T05:32:00+02:00,[60],[0]
2023-08-09T04:40:00+02:00,[60],[0]
2023-08-09T04:16:00+02:00,[60],[0]
2023-08-07T06:33:00+02:00,"[60,60]","[0,0]"
2023-08-07T06:28:00+02:00,"[60,60]","[0,0]"
2023-08-07T06:25:00+02:00,"[60,60]","[0,0]"
2023-08-07T06:02:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-07T05:48:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-07T05:41:00+02:00,"[60,60]","[0,0]"
2023-08-07T05:38:00+02:00,"[60,60]","[0,0]"
2023-08-07T04:54:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-06T07:47:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-06T07:42:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-06T07:40:00+02:00,[60],[0]
2023-08-06T07:31:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-06T07:24:00+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2023-08-06T07:22:00+02:00,[60],[0]
2023-08-06T07:18:00+02:00,"[60,61]","[0,0]"
2023-08-06T07:12:00+02:00,[60],[0]
2023-08-06T07:06:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-06T07:03:00+02:00,"[60,60]","[0,0]"
2023-08-06T06:42:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-06T06:25:00+02:00,[60],[0]
2023-08-06T06:22:00+02:00,[60],[0]
2023-08-06T06:19:00+02:00,[60],[0]
2023-08-06T06:15:00+02:00,"[60,60]","[0,0]"
2023-08-06T06:13:00+02:00,[60],[0]
2023-08-06T06:04:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-06T05:55:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-06T05:47:00+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2023-08-06T05:39:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-06T05:36:00+02:00,[60],[0]
2023-08-06T05:33:00+02:00,[60],[0]
2023-08-06T05:23:00+02:00,"[60,60,60,60,60,61,59,60]","[0,0,0,0,0,0,0,0]"
2023-08-06T05:05:00+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2023-08-06T04:56:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-06T04:42:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-06T04:40:00+02:00,[60],[0]
2023-08-06T04:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2023-08-06T04:27:00+02:00,[60],[0]
2023-08-06T04:23:00+02:00,[60],[0]
2023-08-06T04:16:00+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2023-08-06T04:12:00+02:00,[60],[0]
2023-08-06T03:53:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-06T03:45:00+02:00,[60],[0]
2023-08-06T03:43:00+02:00,[60],[0]
2023-08-06T03:35:00+02:00,[60],[0]
2023-08-05T03:51:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-05T03:40:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-05T03:27:00+02:00,[60],[0]
2023-08-05T03:20:00+02:00,[60],[0]
2023-08-05T03:08:00+02:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2023-08-05T03:06:00+02:00,[60],[0]
2023-08-05T03:03:00+02:00,"[60,60]","[0,0]"
2023-08-05T02:56:00+02:00,"[60,60,61,59,60,60]","[0,0,0,0,0,0]"
2023-08-05T02:49:00+02:00,[60],[0]
2023-08-05T02:47:00+02:00,[60],[0]
2023-08-05T02:38:00+02:00,[60],[0]
2023-08-05T02:29:00+02:00,[60],[0]
2023-08-05T02:26:00+02:00,"[61,59]","[0,0]"
2023-08-05T02:22:00+02:00,[60],[0]
2023-08-05T02:18:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-05T02:16:00+02:00,[60],[0]
2023-08-05T01:59:00+02:00,[60],[0]
2023-08-05T01:54:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-05T01:45:00+02:00,"[60,60]","[0,0]"
2023-08-05T01:41:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-05T01:37:00+02:00,"[60,60]","[0,0]"
2023-08-05T01:27:00+02:00,"[60,60]","[0,0]"
2023-08-05T01:25:00+02:00,[60],[0]
2023-08-05T01:20:00+02:00,[60],[0]
2023-08-05T01:08:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-05T01:02:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-05T00:59:00+02:00,"[60,60]","[0,0]"
2023-08-05T00:49:00+02:00,"[61,59,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2023-08-05T00:44:00+02:00,[60],[0]
2023-08-05T00:31:00+02:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2023-08-05T00:24:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-05T00:14:00+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2023-08-05T00:12:00+02:00,[60],[0]
2023-08-05T00:07:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-04T23:55:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0]"
2023-08-04T23:43:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-04T23:31:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2023-08-04T23:26:00+02:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2023-08-04T23:17:00+02:00,[60],[0]
2023-08-04T22:50:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2023-08-04T22:46:00+02:00,[60],[0]
2023-08-04T22:44:00+02:00,[60],[0]
2023-08-04T22:40:00+02:00,"[60,60]","[0,0]"
2023-08-04T22:32:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-04T22:21:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-04T22:18:00+02:00,"[60,60]","[0,0]"
2023-08-04T21:55:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-04T21:53:00+02:00,[60],[0]
2023-08-04T21:49:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-04T21:46:00+02:00,[60],[0]
2023-08-04T21:43:00+02:00,"[60,60]","[0,0]"
2023-08-04T21:41:00+02:00,[60],[0]
2023-08-04T21:28:00+02:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2023-08-04T21:24:00+02:00,"[60,60]","[0,0]"
2023-08-04T21:21:00+02:00,"[60,60]","[0,0]"
2023-08-04T21:15:00+02:00,"[60,60,61,59]","[0,0,0,0]"
2023-08-04T21:11:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-04T20:58:00+02:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2023-08-04T20:53:00+02:00,[60],[0]
2023-08-04T20:45:00+02:00,[60],[0]
2023-08-04T20:34:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-04T20:31:00+02:00,"[60,60]","[0,0]"
2023-08-04T02:12:00+02:00,[60],[0]
2023-08-04T02:07:00+02:00,"[60,60]","[0,0]"
2023-08-04T01:45:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-04T01:42:00+02:00,"[60,60]","[0,0]"
2023-08-04T01:40:00+02:00,[60],[0]
2023-08-04T01:31:00+02:00,"[60,60]","[0,0]"
2023-08-04T01:19:00+02:00,[60],[0]
2023-08-04T01:01:00+02:00,[60],[0]
2023-08-04T00:12:00+02:00,[60],[0]
2023-08-03T22:41:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-03T22:24:00+02:00,"[60,60,60,60,61,59,60]","[0,0,0,0,0,0,0]"
2023-08-03T07:11:00+02:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2023-08-03T07:08:00+02:00,[60],[0]
2023-08-03T07:05:00+02:00,[60],[0]
2023-08-03T07:04:00+02:00,[60],[0]
2023-08-03T07:02:00+02:00,[60],[0]
2023-08-03T07:00:00+02:00,[60],[0]
2023-08-03T06:58:00+02:00,[60],[0]
2023-08-03T06:37:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-03T06:16:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2023-08-03T06:08:00+02:00,"[60,60]","[0,0]"
2023-08-03T06:02:00+02:00,[60],[0]
2023-08-03T05:56:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-03T05:50:00+02:00,[60],[0]
2023-08-03T05:42:00+02:00,[60],[0]
2023-08-03T05:37:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-03T05:35:00+02:00,[60],[0]
2023-08-03T05:23:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0]"
2023-08-03T05:12:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2023-08-03T04:59:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-03T04:53:00+02:00,"[61,59,60]","[0,0,0]"
2023-08-03T04:49:00+02:00,[60],[0]
2023-08-03T04:46:00+02:00,"[60,60]","[0,0]"
2023-08-03T04:41:00+02:00,"[60,60,60]","[0,0,0]"
2023-08-03T04:34:00+02:00,"[60,60]","[0,0]"
2023-08-03T04:29:00+02:00,"[60,60,60,60]","[0,0,0,0]"
2023-08-03T04:27:00+02:00,[60],[0]
