Date,"Weight (lb)","Fat mass (lb)","Bone mass (lb)","Muscle mass (lb)","Hydration (lb)",Comments
"2026-07-08 11:58:38",148.5,50.3,4.9,93.2,64.9,
"2026-06-26 10:53:43",149.4,50.4,5,94,65.3,
"2026-06-20 11:14:43",150.6,51.8,5,93.8,65.7,
"2026-06-11 12:25:39",150.3,51.8,5,93.6,65.1,
"2026-06-06 11:17:20",151.1,51.9,5,94.2,66.2,
"2026-05-31 11:45:31",152,50.9,5.1,96,67.8,
"2026-05-30 21:39:30",152.4,51.5,5.1,95.8,67.6,
"2026-05-18 10:28:32",151.5,52.2,5,94.3,65.9,
"2026-04-29 10:28:06",150.1,51.3,5,93.8,65.5,
"2026-04-24 07:57:46",150.2,50.7,5,94.4,66.7,
"2026-04-03 11:34:23",148.5,50.7,4.9,92.9,64.9,
"2026-03-22 14:02:23",147.1,49.5,4.9,92.6,64.6,
"2026-02-20 11:58:14",147.9,50.4,4.9,92.5,64.5,
"2026-01-19 09:57:07",149,50.1,5,93.9,65.6,
"2026-01-14 12:43:26",150.3,51.5,5,93.8,65.9,
"2025-12-26 11:42:01",149.3,50.7,5,93.7,65.4,
"2025-12-22 11:11:06",150,50.6,5,94.4,66,
"2025-12-12 11:57:23",149.8,51.1,5,93.7,65.4,
"2025-12-02 11:00:26",151,52.5,4.9,93.5,64.9,
"2025-11-27 12:25:20",151,52.8,4.9,93.3,64.9,
"2025-11-13 10:36:54",152.8,52.3,5,95.4,66.8,
"2025-11-01 11:48:59",152.2,51.9,5,95.3,67.1,
"2025-10-03 11:20:15",152.7,52.9,5,94.8,66.1,
"2025-09-12 09:47:40",153.7,52.1,5.1,96.5,67.6,
"2025-08-14 11:35:10",152.4,53.4,5,94,65.6,
"2025-08-13 10:54:37",152.7,53.6,5,94,65.4,
"2025-08-10 12:26:58",151.5,51.6,5,94.9,66.1,
"2025-08-02 12:33:11",152.1,52.5,5,94.6,65.5,
"2025-07-25 10:20:16",152.1,53.3,5,93.9,65.3,
"2025-07-23 10:16:16",152.5,52.3,5,95.1,66.2,
"2025-07-17 09:55:48",152.7,51.9,5.1,95.7,67.1,
"2025-07-15 09:21:51",152.8,53.3,5,94.5,65.9,
"2025-07-14 10:12:00",154.1,53.8,5,95.2,67,
"2025-06-28 13:40:38",153.8,53.6,5,95.1,66.1,
"2025-06-26 11:42:10",153.5,51.7,5.1,96.6,68,
"2025-06-19 11:38:39",153.3,53.2,5,95.1,66,
"2025-06-19 11:35:17",154.1,53.2,5.1,95.8,66.5,
"2025-06-06 08:07:06",153.4,53.8,5,94.5,66.6,
"2025-06-05 11:13:36",154.1,52.9,5.1,96.1,67.2,
"2025-05-31 11:26:46",154.2,54,5,95.1,66.1,
"2025-05-21 11:34:22",155.5,54.7,5.1,95.7,67.1,
"2025-05-15 10:11:08",155.1,53.8,5.1,96.2,68,
"2025-05-08 10:24:52",156.6,55.3,5.1,96.2,67.3,
"2025-04-30 10:14:16",156.2,54.7,5.1,96.4,67.5,
"2025-04-24 11:03:36",155.7,54.7,5.1,95.9,67.1,
"2025-04-22 10:17:33",156.8,55,5.1,96.6,67.9,
"2025-04-21 10:48:41",156.9,55.7,5.1,96.1,67.5,
"2025-04-20 11:57:14",156.5,55.9,5,95.5,66.4,
"2025-03-30 18:50:49",154,52.7,5.1,96.2,67.7,
"2025-03-18 18:51:17",153.4,52.7,5.1,95.7,68,
"2025-03-11 18:45:32",154.5,54.1,5,95.3,67.4,
"2025-03-08 17:50:20",152.9,52.8,5,95,66.6,
"2025-03-07 15:11:20",153.9,53.5,5.1,95.3,67.5,
"2025-03-03 17:43:45",152.6,52.8,5,94.7,66.4,
"2025-02-21 11:12:34",153.1,52.9,5,95.1,66.8,
"2025-02-16 10:32:43",153.1,53.9,5,94.2,65.8,
"2025-02-14 09:42:42",154,54.1,5,94.8,66.3,
