start,duration,value
2026-06-29T02:43:04+02:00,[10],[8]
2026-06-29T02:42:28+02:00,[9],[5]
2026-06-29T02:42:19+02:00,[8],[7]
2026-06-29T02:41:09+02:00,[9],[3]
2026-06-29T02:40:48+02:00,"[10,10]","[6,6]"
2026-06-29T02:40:29+02:00,"[9,9]","[6,6]"
2026-06-29T02:39:58+02:00,"[10,10,10]","[8,8,8]"
2026-06-29T02:39:46+02:00,[11],[2]
2026-06-29T02:39:19+02:00,"[13,13]","[3,3]"
2026-06-29T02:39:08+02:00,[10],[9]
2026-06-29T02:38:31+02:00,"[12,12,12]","[11,11,11]"
2026-06-29T02:37:32+02:00,[11],[10]
2026-06-29T02:36:38+02:00,[12],[6]
2026-06-29T02:36:15+02:00,[7],[6]
2026-06-29T02:35:58+02:00,[7],[6]
2026-06-29T02:35:50+02:00,[7],[6]
2026-06-29T02:35:41+02:00,[8],[1]
2026-06-29T02:35:12+02:00,[11],[2]
2026-06-29T02:34:57+02:00,[14],[12]
2026-06-29T02:34:43+02:00,[13],[9]
2026-06-29T02:34:09+02:00,[8],[6]
2026-06-29T02:33:41+02:00,[13],[12]
2026-06-29T02:33:22+02:00,[18],[15]
2026-06-29T02:32:36+02:00,"[13,13,13]","[9,9,9]"
2026-06-29T02:31:53+02:00,"[14,14]","[12,12]"
2026-06-29T02:31:39+02:00,[8],[2]
2026-06-29T02:30:57+02:00,"[11,11]","[11,11]"
2026-06-29T02:30:30+02:00,[17],[9]
2026-06-29T02:30:12+02:00,[17],[15]
2026-06-29T02:29:56+02:00,[13],[12]
2026-06-29T02:29:23+02:00,[12],[4]
2026-06-29T02:28:45+02:00,[9],[7]
2026-06-29T02:28:03+02:00,"[11,11,11]","[9,9,9]"
2026-06-29T02:27:49+02:00,[11],[4]
2026-06-29T02:27:13+02:00,[8],[1]
2026-06-29T02:24:31+02:00,[13],[11]
2026-06-29T02:24:09+02:00,[13],[12]
2026-06-29T02:23:36+02:00,[22],[9]
2026-06-29T02:23:10+02:00,[25],[19]
2026-06-29T02:22:32+02:00,[21],[12]
2026-06-29T02:21:35+02:00,[33],[26]
2026-06-29T02:20:50+02:00,[26],[16]
2026-06-29T02:20:25+02:00,[13],[11]
2026-06-29T02:19:22+02:00,"[26,26]","[22,22]"
2026-06-29T02:13:27+02:00,[15],[4]
2026-06-29T02:12:59+02:00,[25],[13]
2026-06-29T02:12:43+02:00,[13],[6]
2026-06-29T02:12:11+02:00,[31],[28]
2026-06-29T02:11:26+02:00,"[22,22]","[19,19]"
2026-06-29T02:09:52+02:00,"[11,11]","[3,3]"
2026-06-29T02:09:36+02:00,[15],[12]
2026-06-29T02:08:35+02:00,[15],[10]
2026-06-29T02:07:07+02:00,[13],[3]
2026-06-29T02:05:41+02:00,[14],[12]
2026-06-29T02:05:27+02:00,[12],[9]
2026-06-29T02:04:55+02:00,"[10,10]","[9,9]"
2026-06-29T02:04:26+02:00,[9],[6]
2026-06-29T02:04:14+02:00,[9],[8]
2026-06-29T02:03:31+02:00,[8],[1]
2026-06-29T02:03:05+02:00,[8],[3]
2026-06-29T02:02:45+02:00,[14],[12]
2026-06-29T02:01:53+02:00,[8],[7]
2026-06-29T02:00:09+02:00,[12],[5]
2026-05-10T21:58:52+02:00,[8],[1]
2026-05-10T21:56:09+02:00,[6],[2]
2026-05-10T21:54:46+02:00,[12],[10]
2026-05-10T21:54:30+02:00,[10],[8]
2026-05-10T21:54:21+02:00,[6],[6]
2026-05-10T21:53:38+02:00,[9],[3]
2026-05-10T21:53:30+02:00,[7],[6]
2026-05-10T21:53:16+02:00,[6],[1]
2026-05-10T21:53:06+02:00,[6],[1]
2026-05-10T21:52:57+02:00,[5],[5]
2026-05-10T21:52:26+02:00,[7],[1]
2026-05-10T21:50:33+02:00,[9],[1]
2026-05-10T21:49:06+02:00,[8],[1]
2026-05-10T21:48:59+02:00,[5],[1]
2026-05-10T21:47:51+02:00,"[9,9,9]","[2,2,2]"
2026-05-10T21:47:29+02:00,[10],[2]
2026-05-10T21:47:06+02:00,[5],[1]
2026-05-10T21:46:27+02:00,[14],[2]
2026-05-10T21:45:30+02:00,[6],[1]
2026-05-10T21:43:47+02:00,[8],[1]
2026-05-10T21:36:37+02:00,[6],[1]
2026-05-10T21:36:29+02:00,[7],[2]
2026-05-10T21:33:03+02:00,[10],[1]
2026-05-10T21:31:43+02:00,[8],[1]
2026-05-10T21:31:09+02:00,[8],[1]
2026-05-10T21:29:52+02:00,[7],[4]
2026-05-10T21:29:15+02:00,[8],[1]
2026-05-10T21:27:23+02:00,[6],[1]
2026-01-20T22:09:32+01:00,[10],[1]
2026-01-20T22:07:32+01:00,[6],[1]
2024-10-06T22:38:40+02:00,[7],[1]
2024-10-06T21:56:53+02:00,[8],[1]
2024-10-06T21:56:30+02:00,[5],[1]
2024-10-06T21:46:41+02:00,[5],[1]
2024-10-06T21:46:23+02:00,[7],[1]
2024-10-06T21:45:40+02:00,"[10,10]","[2,2]"
2024-10-06T21:44:58+02:00,[8],[1]
2024-10-06T21:39:01+02:00,[13],[2]
2024-10-06T21:38:49+02:00,[10],[1]
2024-10-06T21:38:33+02:00,[6],[1]
2024-10-06T21:12:12+02:00,[14],[2]
2024-10-06T21:02:17+02:00,[10],[3]
2024-10-06T21:02:01+02:00,[6],[1]
2024-10-06T21:00:42+02:00,[9],[1]
2024-10-06T21:00:33+02:00,[6],[1]
2024-10-06T21:00:22+02:00,[9],[1]
2024-10-06T20:57:55+02:00,"[8,8]","[1,1]"
2024-10-06T20:36:04+02:00,[9],[1]
2024-10-06T20:33:45+02:00,[16],[3]
2024-10-06T20:31:10+02:00,[15],[2]
2024-10-06T20:27:53+02:00,[10],[2]
2024-10-06T20:26:54+02:00,[16],[3]
2024-10-06T19:56:59+02:00,[5],[1]
2024-10-06T19:40:33+02:00,[7],[1]
2024-10-06T19:38:56+02:00,[5],[1]
2024-10-06T18:19:00+02:00,[15],[2]
2024-10-06T17:53:38+02:00,[11],[1]
2024-10-06T17:31:06+02:00,[16],[4]
2024-10-06T17:30:32+02:00,[20],[2]
2024-10-06T17:11:39+02:00,[13],[1]
2024-10-06T17:06:21+02:00,[9],[3]
2024-10-06T17:06:08+02:00,[9],[1]
2024-10-06T17:05:43+02:00,[7],[1]
2024-10-06T17:05:03+02:00,"[9,9]","[2,2]"
2024-10-06T17:04:51+02:00,[6],[1]
2024-10-06T17:04:31+02:00,[5],[1]
2024-10-06T17:03:32+02:00,[7],[1]
2024-10-06T16:57:01+02:00,"[10,10]","[1,1]"
2024-10-06T16:55:59+02:00,[13],[2]
2024-10-06T16:51:25+02:00,[8],[1]
2024-10-06T16:48:37+02:00,[9],[2]
2024-10-06T16:47:44+02:00,[9],[1]
2024-10-06T16:37:54+02:00,[6],[1]
2024-10-06T16:28:27+02:00,[8],[1]
2024-10-06T15:45:54+02:00,[7],[1]
2024-10-06T15:42:58+02:00,[9],[3]
2024-10-06T15:42:47+02:00,[5],[1]
2024-10-06T15:42:27+02:00,[5],[1]
2024-10-06T22:52:59+02:00,[9],[1]
2024-10-06T22:52:48+02:00,[8],[1]
2024-10-06T22:52:05+02:00,[10],[1]
2024-10-06T22:49:20+02:00,[14],[7]
2024-10-06T22:48:07+02:00,[14],[4]
2024-10-06T22:44:24+02:00,[13],[7]
2024-10-06T22:43:20+02:00,[5],[2]
2024-10-06T22:41:51+02:00,[6],[1]
2024-10-06T14:46:46+02:00,[13],[2]
2024-10-06T14:37:17+02:00,[11],[1]
2024-10-06T14:34:39+02:00,[8],[2]
2024-10-06T14:34:29+02:00,[5],[1]
2024-10-06T14:33:53+02:00,[5],[1]
2024-10-06T14:19:39+02:00,[9],[1]
2024-10-06T14:18:21+02:00,[6],[1]
2024-10-06T14:17:11+02:00,[8],[1]
2024-10-06T14:16:55+02:00,[5],[1]
2024-10-06T13:49:17+02:00,[6],[1]
2024-10-06T13:32:25+02:00,[8],[1]
2024-10-06T13:26:15+02:00,[7],[1]
2024-10-06T13:02:17+02:00,[5],[1]
2024-10-06T13:00:35+02:00,[6],[1]
2024-10-06T12:47:39+02:00,[9],[1]
2024-10-06T12:21:20+02:00,[9],[1]
2024-10-06T12:19:50+02:00,[6],[2]
2024-10-06T12:13:36+02:00,[9],[1]
2024-10-06T12:12:11+02:00,[8],[2]
2024-10-06T10:54:28+02:00,[6],[1]
2024-10-06T10:49:08+02:00,[8],[1]
2024-10-06T10:45:27+02:00,[14],[1]
2024-10-06T10:44:58+02:00,"[8,8]","[2,2]"
2024-10-06T10:41:41+02:00,[15],[2]
2024-10-06T10:40:17+02:00,[8],[1]
2024-10-06T10:37:17+02:00,[8],[1]
2024-10-06T10:36:44+02:00,"[9,9]","[1,1]"
2024-10-06T10:20:59+02:00,[10],[1]
