from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events",Notes
2023-10-20T23:33:00-07:00,2023-10-21T09:35:00-07:00,18540,15960,0,1620,0,1440,180,0,0,74,66,87,,
2023-11-22T19:44:00-08:00,2023-11-23T06:54:00-08:00,20041,18539,0,1620,1,120,1320,0,0,75,66,102,,
2024-01-07T19:07:00-08:00,2024-01-08T05:02:00-08:00,16500,9120,0,5700,11,120,0,0,0,78,57,101,,
2024-05-16T22:35:00-07:00,2024-05-17T06:17:00-07:00,14640,10740,0,2340,5,120,120,0,0,85,75,152,,
2024-08-08T00:19:00-07:00,2024-08-08T11:52:00-07:00,25320,15600,0,660,0,660,0,0,0,71,64,90,,
2024-08-11T23:48:00-07:00,2024-08-12T04:00:00-07:00,6600,8220,0,300,1,120,0,0,0,0,0,0,,
2024-11-25T04:32:00-08:00,2024-11-25T09:55:00-08:00,11640,6300,0,1440,2,120,180,0,0,79,70,103,,
2024-12-31T23:51:00-08:00,2025-01-01T03:47:00-08:00,5940,7500,0,720,1,120,0,0,0,79,72,105,,
2025-01-12T05:20:00-08:00,2025-01-12T11:25:00-08:00,9180,11580,0,1140,1,120,0,0,0,82,72,94,,
2026-06-20T01:41:18-07:00,2026-06-20T10:30:19-07:00,0,0,0,33721,15,5335,0,0,0,0,0,0,,
2026-06-21T01:02:00-07:00,2026-06-21T10:14:00-07:00,16800,16200,0,120,0,120,0,0,0,71,64,85,,
2026-06-22T01:40:00-07:00,2026-06-22T08:19:00-07:00,9780,13020,0,1140,1,120,0,0,0,70,60,88,,
2026-06-23T01:05:00-07:00,2026-06-23T10:08:00-07:00,15120,17340,0,120,0,120,0,0,0,70,63,82,,
2026-06-24T02:05:00-07:00,2026-06-24T10:09:00-07:00,21480,6300,0,1260,3,120,0,0,0,72,64,91,,
2026-06-25T01:15:00-07:00,2026-06-25T10:24:00-07:00,15840,16140,0,960,2,120,0,0,0,72,64,94,,
2026-06-26T01:28:00-07:00,2026-06-26T09:31:00-07:00,11399,16501,0,1080,1,120,0,0,0,71,65,87,,
2026-06-26T00:56:56-07:00,2026-06-26T09:31:00-07:00,12509,16501,0,2430,2,954,0,0,0,71,65,87,,
2026-06-27T00:40:56-07:00,2026-06-27T09:33:00-07:00,16440,15000,0,750,3,0,0,0,0,70,61,82,,
2026-06-28T00:48:26-07:00,2026-06-28T10:34:00-07:00,19920,13740,0,2400,1,120,0,0,0,70,62,89,,
2026-06-29T01:22:57-07:00,2026-06-29T09:11:00-07:00,19620,8280,0,120,0,120,0,0,0,71,62,88,,
2026-06-30T01:24:00-07:00,2026-06-30T11:02:00-07:00,16440,14880,0,3090,4,120,0,0,0,70,60,94,,
2026-07-01T01:20:58-07:00,2026-07-01T09:44:00-07:00,18540,10860,0,2220,1,120,0,0,0,67,60,85,,
2026-07-02T01:13:57-07:00,2026-07-02T11:14:00-07:00,28500,6720,0,780,2,0,0,0,0,68,61,84,,
2026-07-03T02:04:32-07:00,2026-07-03T10:24:00-07:00,13740,15600,0,630,0,120,0,0,0,67,61,78,,
2026-07-04T00:58:28-07:00,2026-07-04T11:15:00-07:00,12540,23820,0,30,0,0,0,0,0,67,61,93,,
2026-07-05T01:57:00-07:00,2026-07-05T10:24:00-07:00,15180,14700,0,540,1,120,0,0,0,69,58,103,,
2026-07-06T03:09:28-07:00,2026-07-06T13:05:00-07:00,16020,4530,5940,2010,26,690,60,0,0,69,61,84,,
2026-07-07T00:21:27-07:00,2026-07-07T10:14:00-07:00,16680,17640,0,120,0,120,0,0,0,74,65,87,,
2026-07-08T01:38:25-07:00,2026-07-08T10:25:25-07:00,18420,4800,6630,1500,30,0,270,0,0,69,61,84,,
2026-07-09T01:27:58-07:00,2026-07-09T13:49:00-07:00,19680,3600,3300,3060,29,0,150,0,0,79,65,91,,
2026-07-10T02:52:30-07:00,2026-07-10T10:30:30-07:00,22650,2460,240,2010,6,0,30,0,0,68,59,83,,
2026-07-11T03:03:16-07:00,2026-07-11T12:15:00-07:00,14340,18000,0,2460,1,224,0,0,0,70,60,92,,
2026-07-12T01:30:26-07:00,2026-07-12T10:51:56-07:00,17580,14580,0,1230,1,120,0,0,0,75,67,104,,
2026-07-12T23:18:29-07:00,2026-07-13T07:44:00-07:00,13980,15780,0,420,0,120,0,0,0,71,66,83,,
2026-07-14T01:11:59-07:00,2026-07-14T10:48:29-07:00,17040,15180,0,3810,1,120,0,0,0,71,58,92,,
2026-07-15T02:13:00-07:00,2026-07-15T10:21:00-07:00,10980,18180,0,120,0,120,0,0,0,70,62,83,,
2026-07-16T02:31:00-07:00,2026-07-16T10:31:00-07:00,18600,10080,0,120,0,120,0,0,0,73,61,93,,
2026-07-17T02:06:30-07:00,2026-07-17T10:21:00-07:00,16860,11340,0,1920,0,1101,0,0,0,70,60,88,,
2026-07-18T01:49:57-07:00,2026-07-18T10:33:27-07:00,17879,10801,0,1680,3,120,0,0,0,72,66,92,,
