Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2026-07-22 02:25:47,,UTC-07:00,2026-07-22 02:25:47,2026-07-22 07:48:14,76,16.9,308,322,196,86,26,14,501,48,95,76,false
2026-07-21 02:20:37,2026-07-22 02:25:47,UTC-07:00,2026-07-21 02:20:37,2026-07-21 10:26:06,81,17.1,402,485,263,72,67,83,500,50,83,88,false
2026-07-20 02:04:26,2026-07-21 02:20:37,UTC-07:00,2026-07-20 02:04:26,2026-07-20 09:22:52,89,17.6,402,438,233,80,89,33,480,25,92,87,false
2026-07-18 01:53:30,2026-07-19 01:53:30,UTC-07:00,2026-07-18 01:53:30,2026-07-18 10:28:31,89,17.2,448,515,282,81,85,67,487,34,87,91,false
2026-07-17 02:12:39,2026-07-18 01:53:30,UTC-07:00,2026-07-17 02:12:39,2026-07-17 10:11:36,88,17.1,423,478,303,84,36,55,476,23,88,88,false
2026-07-16 02:22:04,2026-07-17 02:12:39,UTC-07:00,2026-07-16 02:22:04,2026-07-16 10:11:35,83,17.3,410,469,271,76,63,59,457,7,87,77,false
2026-07-15 02:07:03,2026-07-16 02:22:04,UTC-07:00,2026-07-15 02:07:03,2026-07-15 10:07:01,86,16.9,439,479,251,104,84,40,450,0,91,71,false
2026-07-14 01:22:47,2026-07-15 02:07:03,UTC-07:00,2026-07-14 01:22:47,2026-07-14 10:45:49,83,16.9,497,563,341,92,64,66,471,10,88,68,false
2026-07-12 23:20:04,2026-07-14 01:22:47,UTC-07:00,2026-07-12 23:20:04,2026-07-13 07:23:08,80,17.1,445,483,320,62,63,38,466,15,92,51,false
2026-07-12 01:31:55,2026-07-12 23:20:04,UTC-07:00,2026-07-12 01:31:55,2026-07-12 10:49:27,85,16.8,491,557,305,112,74,66,522,66,88,79,false
2026-07-11 03:03:16,2026-07-12 01:31:55,UTC-07:00,2026-07-11 03:03:16,2026-07-11 10:12:46,79,16.9,359,429,249,77,33,70,491,39,83,84,false
